Utah, Precipitation, November
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195011,1.06,0.00
195111,1.47,0.41
195211,0.78,-0.28
195311,0.85,-0.21
195411,1.00,-0.06
195511,1.12,0.06
195611,0.16,-0.90
195711,2.24,1.18
195811,1.08,0.02
195911,0.36,-0.70
196011,1.45,0.39
196111,1.03,-0.03
196211,0.48,-0.58
196311,1.35,0.29
196411,1.47,0.41
196511,2.09,1.03
196611,0.75,-0.31
196711,0.69,-0.37
196811,0.59,-0.47
196911,0.68,-0.38
197011,1.68,0.62
197111,0.86,-0.20
197211,1.54,0.48
197311,1.45,0.39
197411,0.89,-0.17
197511,0.97,-0.09
197611,0.16,-0.90
197711,0.65,-0.41
197811,2.74,1.68
197911,1.03,-0.03
198011,0.76,-0.30
198111,0.92,-0.14
198211,1.77,0.71
198311,2.35,1.29
198411,1.01,-0.05
198511,2.34,1.28
198611,0.79,-0.27
198711,1.88,0.82
198811,1.29,0.23
198911,0.51,-0.55
199011,0.94,-0.12
199111,1.47,0.41
199211,0.88,-0.18
199311,0.79,-0.27
199411,1.77,0.71
199511,0.54,-0.52
199611,1.78,0.72
199711,0.95,-0.11
199811,1.03,-0.03
199911,0.22,-0.84
200011,0.68,-0.38
200111,1.52,0.46
200211,0.93,-0.13
200311,1.35,0.29
200411,1.69,0.63
200511,0.65,-0.41
200611,0.70,-0.36
200711,0.33,-0.73
200811,1.07,0.01
200911,0.40,-0.66
201011,1.40,0.34
201111,0.90,-0.16
201211,0.67,-0.39
201311,1.02,-0.04
201411,0.75,-0.31
201511,1.07,0.01
201611,0.95,-0.11
201711,0.53,-0.53
201811,0.85,-0.21
201911,1.86,0.80
202011,0.73,-0.33
202111,0.25,-0.81
