Utah, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,0.82,-0.29
195112,2.51,1.40
195212,1.11,0.00
195312,0.65,-0.46
195412,0.86,-0.25
195512,1.26,0.15
195612,0.81,-0.30
195712,0.93,-0.18
195812,0.31,-0.80
195912,1.47,0.36
196012,0.41,-0.70
196112,0.94,-0.17
196212,0.42,-0.69
196312,0.37,-0.74
196412,2.33,1.22
196512,2.09,0.98
196612,2.65,1.54
196712,1.90,0.79
196812,1.12,0.01
196912,0.81,-0.30
197012,1.20,0.09
197112,1.92,0.81
197212,1.65,0.54
197312,0.97,-0.14
197412,0.71,-0.40
197512,0.67,-0.44
197612,0.03,-1.08
197712,1.13,0.02
197812,1.73,0.62
197912,0.62,-0.49
198012,0.41,-0.70
198112,1.21,0.10
198212,1.42,0.31
198312,2.58,1.47
198412,1.61,0.50
198512,0.81,-0.30
198612,0.37,-0.74
198712,1.06,-0.05
198812,1.09,-0.02
198912,0.15,-0.96
199012,0.89,-0.22
199112,0.70,-0.41
199212,1.52,0.41
199312,0.49,-0.62
199412,0.90,-0.21
199512,0.91,-0.20
199612,1.71,0.60
199712,0.65,-0.46
199812,0.60,-0.51
199912,0.55,-0.56
200012,0.64,-0.47
200112,1.12,0.01
200212,0.71,-0.40
200312,1.76,0.65
200412,1.29,0.18
200512,1.08,-0.03
200612,0.81,-0.30
200712,2.20,1.09
200812,1.69,0.58
200912,1.56,0.45
201012,3.38,2.27
201112,0.51,-0.60
201212,1.76,0.65
201312,1.01,-0.10
201412,1.26,0.15
201512,1.38,0.27
201612,1.93,0.82
201712,0.39,-0.72
201812,0.83,-0.28
201912,1.45,0.34
202012,0.68,-0.43
202112,2.24,1.13
