Utah, Precipitation, May
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,0.90,-0.25
195105,1.31,0.16
195205,0.77,-0.38
195305,0.86,-0.29
195405,0.92,-0.23
195505,0.69,-0.46
195605,1.06,-0.09
195705,2.77,1.62
195805,0.75,-0.40
195905,0.82,-0.33
196005,0.56,-0.59
196105,0.66,-0.49
196205,1.20,0.05
196305,0.28,-0.87
196405,1.50,0.35
196505,1.75,0.60
196605,0.83,-0.32
196705,1.80,0.65
196805,1.17,0.02
196905,0.52,-0.63
197005,0.40,-0.75
197105,1.42,0.27
197205,0.19,-0.96
197305,1.09,-0.06
197405,0.15,-1.00
197505,1.81,0.66
197605,1.12,-0.03
197705,2.12,0.97
197805,1.04,-0.11
197905,1.38,0.23
198005,2.46,1.31
198105,2.20,1.05
198205,1.06,-0.09
198305,1.58,0.43
198405,0.54,-0.61
198505,1.29,0.14
198605,1.13,-0.02
198705,1.83,0.68
198805,1.15,0.00
198905,0.86,-0.29
199005,0.79,-0.36
199105,1.66,0.51
199205,1.72,0.57
199305,1.57,0.42
199405,0.79,-0.36
199505,3.06,1.91
199605,1.36,0.21
199705,1.11,-0.04
199805,1.19,0.04
199905,1.31,0.16
200005,0.93,-0.22
200105,0.65,-0.50
200205,0.38,-0.77
200305,1.08,-0.07
200405,0.63,-0.52
200505,1.74,0.59
200605,0.42,-0.73
200705,0.68,-0.47
200805,1.07,-0.08
200905,1.23,0.08
201005,1.24,0.09
201105,2.81,1.66
201205,0.28,-0.87
201305,0.97,-0.18
201405,1.02,-0.13
201505,3.20,2.05
201605,1.36,0.21
201705,0.64,-0.51
201805,1.14,-0.01
201905,2.94,1.79
202005,0.32,-0.83
202105,0.34,-0.81
