Utah, Precipitation, August
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195008,0.23,-0.98
195108,2.02,0.81
195208,1.27,0.06
195308,1.39,0.18
195408,0.54,-0.67
195508,1.94,0.73
195608,0.35,-0.86
195708,1.79,0.58
195808,0.83,-0.38
195908,1.48,0.27
196008,0.37,-0.84
196108,2.12,0.91
196208,0.25,-0.96
196308,2.09,0.88
196408,0.85,-0.36
196508,1.77,0.56
196608,0.96,-0.25
196708,0.83,-0.38
196808,2.27,1.06
196908,1.02,-0.19
197008,1.17,-0.04
197108,1.65,0.44
197208,0.91,-0.30
197308,0.90,-0.31
197408,0.33,-0.88
197508,0.52,-0.69
197608,0.51,-0.70
197708,1.54,0.33
197808,0.70,-0.51
197908,1.07,-0.14
198008,0.83,-0.38
198108,1.07,-0.14
198208,1.63,0.42
198308,2.24,1.03
198408,1.89,0.68
198508,0.11,-1.10
198608,1.36,0.15
198708,1.63,0.42
198808,1.05,-0.16
198908,1.29,0.08
199008,0.69,-0.52
199108,1.37,0.16
199208,1.04,-0.17
199308,1.19,-0.02
199408,1.23,0.02
199508,0.93,-0.28
199608,0.31,-0.90
199708,2.04,0.83
199808,0.82,-0.39
199908,1.81,0.60
200008,1.57,0.36
200108,1.27,0.06
200208,0.29,-0.92
200308,1.19,-0.02
200408,0.89,-0.32
200508,1.32,0.11
200608,0.90,-0.31
200708,1.21,0.00
200808,0.92,-0.29
200908,0.39,-0.82
201008,1.38,0.17
201108,0.96,-0.25
201208,1.07,-0.14
201308,1.40,0.19
201408,2.46,1.25
201508,1.27,0.06
201608,0.94,-0.27
201708,0.94,-0.27
201808,1.02,-0.19
201908,0.35,-0.86
202008,0.14,-1.07
202108,2.14,0.93
