Utah, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,0.89,-0.17
195109,0.35,-0.71
195209,0.69,-0.37
195309,0.06,-1.00
195409,1.67,0.61
195509,0.61,-0.45
195609,0.11,-0.95
195709,0.10,-0.96
195809,1.09,0.03
195909,1.26,0.20
196009,1.02,-0.04
196109,2.34,1.28
196209,1.18,0.12
196309,1.50,0.44
196409,0.50,-0.56
196509,1.73,0.67
196609,0.92,-0.14
196709,1.57,0.51
196809,0.29,-0.77
196909,0.82,-0.24
197009,1.09,0.03
197109,0.68,-0.38
197209,1.29,0.23
197309,0.91,-0.15
197409,0.23,-0.83
197509,0.50,-0.56
197609,0.98,-0.08
197709,0.75,-0.31
197809,1.39,0.33
197909,0.09,-0.97
198009,1.76,0.70
198109,1.32,0.26
198209,3.67,2.61
198309,1.59,0.53
198409,0.95,-0.11
198509,1.64,0.58
198609,1.95,0.89
198709,0.31,-0.75
198809,0.73,-0.33
198909,0.68,-0.38
199009,1.35,0.29
199109,1.58,0.52
199209,0.52,-0.54
199309,0.39,-0.67
199409,1.18,0.12
199509,0.71,-0.35
199609,1.31,0.25
199709,2.96,1.90
199809,1.73,0.67
199909,0.80,-0.26
200009,0.93,-0.13
200109,0.31,-0.75
200209,2.27,1.21
200309,0.64,-0.42
200409,1.22,0.16
200509,0.92,-0.14
200609,1.40,0.34
200709,1.40,0.34
200809,0.62,-0.44
200909,0.75,-0.31
201009,0.26,-0.80
201109,0.96,-0.10
201209,1.04,-0.02
201309,2.74,1.68
201409,2.66,1.60
201509,0.88,-0.18
201609,2.08,1.02
201709,1.54,0.48
201809,0.08,-0.98
201909,0.85,-0.21
202009,0.25,-0.81
202109,0.87,-0.19
