Vermont, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,4.08,0.14
195106,3.40,-0.54
195206,6.52,2.58
195306,2.01,-1.93
195406,5.36,1.42
195506,3.63,-0.31
195606,2.67,-1.27
195706,4.83,0.89
195806,3.11,-0.83
195906,4.13,0.19
196006,4.39,0.45
196106,4.11,0.17
196206,2.47,-1.47
196306,2.55,-1.39
196406,2.03,-1.91
196506,3.05,-0.89
196606,3.42,-0.52
196706,3.56,-0.38
196806,4.83,0.89
196906,4.28,0.34
197006,3.51,-0.43
197106,2.47,-1.47
197206,5.60,1.66
197306,7.84,3.90
197406,3.57,-0.37
197506,3.76,-0.18
197606,4.56,0.62
197706,4.29,0.35
197806,6.06,2.12
197906,1.78,-2.16
198006,3.15,-0.79
198106,4.02,0.08
198206,6.53,2.59
198306,2.63,-1.31
198406,2.75,-1.19
198506,3.85,-0.09
198606,5.00,1.06
198706,6.00,2.06
198806,2.10,-1.84
198906,5.00,1.06
199006,4.53,0.59
199106,2.70,-1.24
199206,3.02,-0.92
199306,4.25,0.31
199406,4.23,0.29
199506,1.35,-2.59
199606,4.45,0.51
199706,2.70,-1.24
199806,8.77,4.83
199906,2.56,-1.38
200006,3.89,-0.05
200106,3.94,0.00
200206,7.07,3.13
200306,3.12,-0.82
200406,3.24,-0.70
200506,4.97,1.03
200606,8.67,4.73
200706,3.48,-0.46
200806,6.39,2.45
200906,4.91,0.97
201006,5.73,1.79
201106,4.96,1.02
201206,3.87,-0.07
201306,7.96,4.02
201406,4.57,0.63
201506,8.63,4.69
201606,3.29,-0.65
201706,6.46,2.52
201806,3.85,-0.09
201906,5.61,1.67
202006,2.38,-1.56
202106,2.89,-1.05
