Vermont, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,2.89,-1.00
195109,3.60,-0.29
195209,3.56,-0.33
195309,2.91,-0.98
195409,6.41,2.52
195509,2.23,-1.66
195609,4.86,0.97
195709,3.63,-0.26
195809,4.07,0.18
195909,2.49,-1.40
196009,5.38,1.49
196109,1.94,-1.95
196209,3.60,-0.29
196309,2.00,-1.89
196409,1.21,-2.68
196509,5.13,1.24
196609,3.98,0.09
196709,2.75,-1.14
196809,3.01,-0.88
196909,2.34,-1.55
197009,4.56,0.67
197109,2.40,-1.49
197209,1.74,-2.15
197309,4.01,0.12
197409,5.37,1.48
197509,6.17,2.28
197609,4.16,0.27
197709,6.35,2.46
197809,2.29,-1.60
197909,4.33,0.44
198009,4.39,0.50
198109,6.00,2.11
198209,2.79,-1.10
198309,2.37,-1.52
198409,2.26,-1.63
198509,4.58,0.69
198609,3.81,-0.08
198709,5.88,1.99
198809,2.19,-1.70
198909,4.97,1.08
199009,2.86,-1.03
199109,5.07,1.18
199209,4.13,0.24
199309,4.62,0.73
199409,3.95,0.06
199509,3.44,-0.45
199609,3.50,-0.39
199709,3.08,-0.81
199809,3.97,0.08
199909,8.57,4.68
200009,2.65,-1.24
200109,4.21,0.32
200209,4.99,1.10
200309,4.87,0.98
200409,3.41,-0.48
200509,3.86,-0.03
200609,2.98,-0.91
200709,3.38,-0.51
200809,3.23,-0.66
200909,2.42,-1.47
201009,3.40,-0.49
201109,6.11,2.22
201209,5.51,1.62
201309,4.41,0.52
201409,1.85,-2.04
201509,4.73,0.84
201609,2.12,-1.77
201709,2.93,-0.96
201809,4.03,0.14
201909,3.18,-0.71
202009,2.63,-1.26
202109,3.89,0.00
