Virginia, Precipitation, March
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,3.31,-0.47
195103,3.87,0.09
195203,5.09,1.31
195303,4.66,0.88
195403,4.07,0.29
195503,5.21,1.43
195603,3.38,-0.40
195703,2.72,-1.06
195803,4.54,0.76
195903,3.16,-0.62
196003,3.31,-0.47
196103,4.01,0.23
196203,4.16,0.38
196303,5.67,1.89
196403,2.63,-1.15
196503,4.38,0.60
196603,1.78,-2.00
196703,3.50,-0.28
196803,3.88,0.10
196903,3.45,-0.33
197003,3.00,-0.78
197103,2.69,-1.09
197203,2.37,-1.41
197303,4.66,0.88
197403,3.98,0.20
197503,7.86,4.08
197603,2.62,-1.16
197703,3.17,-0.61
197803,4.90,1.12
197903,3.65,-0.13
198003,4.98,1.20
198103,1.85,-1.93
198203,3.27,-0.51
198303,4.86,1.08
198403,6.14,2.36
198503,1.69,-2.09
198603,1.72,-2.06
198703,3.39,-0.39
198803,1.87,-1.91
198903,4.74,0.96
199003,3.42,-0.36
199103,5.88,2.10
199203,3.66,-0.12
199303,7.37,3.59
199403,7.90,4.12
199503,2.48,-1.30
199603,3.75,-0.03
199703,4.32,0.54
199803,5.22,1.44
199903,3.46,-0.32
200003,3.25,-0.53
200103,4.45,0.67
200203,4.39,0.61
200303,4.33,0.55
200403,2.17,-1.61
200503,3.80,0.02
200603,0.70,-3.08
200703,3.29,-0.49
200803,3.23,-0.55
200903,4.01,0.23
201003,4.61,0.83
201103,5.28,1.50
201203,3.87,0.09
201303,3.70,-0.08
201403,3.29,-0.49
201503,3.75,-0.03
201603,2.05,-1.73
201703,3.17,-0.61
201803,3.17,-0.61
201903,3.31,-0.47
202003,2.93,-0.85
202103,3.47,-0.31
