Virginia, Precipitation, May
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,5.88,2.05
195105,2.61,-1.22
195205,3.76,-0.07
195305,3.98,0.15
195405,4.35,0.52
195505,2.84,-0.99
195605,2.55,-1.28
195705,2.56,-1.27
195805,4.92,1.09
195905,2.67,-1.16
196005,5.36,1.53
196105,4.38,0.55
196205,3.29,-0.54
196305,2.42,-1.41
196405,1.68,-2.15
196505,2.34,-1.49
196605,3.79,-0.04
196705,4.31,0.48
196805,4.14,0.31
196905,2.42,-1.41
197005,2.34,-1.49
197105,7.84,4.01
197205,5.73,1.90
197305,4.31,0.48
197405,4.66,0.83
197505,4.37,0.54
197605,4.30,0.47
197705,2.58,-1.25
197805,5.25,1.42
197905,4.39,0.56
198005,3.55,-0.28
198105,4.46,0.63
198205,3.41,-0.42
198305,4.22,0.39
198405,4.96,1.13
198505,4.52,0.69
198605,3.02,-0.81
198705,2.80,-1.03
198805,4.55,0.72
198905,5.74,1.91
199005,6.69,2.86
199105,2.42,-1.41
199205,4.66,0.83
199305,3.54,-0.29
199405,2.69,-1.14
199505,4.98,1.15
199605,5.34,1.51
199705,1.91,-1.92
199805,5.30,1.47
199905,2.31,-1.52
200005,3.29,-0.54
200105,4.88,1.05
200205,3.52,-0.31
200305,7.22,3.39
200405,4.40,0.57
200505,3.15,-0.68
200605,2.55,-1.28
200705,2.16,-1.67
200805,4.23,0.40
200905,6.13,2.30
201005,4.25,0.42
201105,4.33,0.50
201205,4.14,0.31
201305,4.37,0.54
201405,4.35,0.52
201505,2.15,-1.68
201605,6.92,3.09
201705,7.52,3.69
201805,7.27,3.44
201905,3.60,-0.23
202005,4.87,1.04
202105,2.20,-1.63
