Virginia, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,3.38,-0.60
195106,6.10,2.12
195206,2.78,-1.20
195306,3.92,-0.06
195406,2.31,-1.67
195506,3.96,-0.02
195606,3.07,-0.91
195706,4.36,0.38
195806,4.27,0.29
195906,2.64,-1.34
196006,2.70,-1.28
196106,5.44,1.46
196206,5.26,1.28
196306,3.82,-0.16
196406,2.26,-1.72
196506,3.26,-0.72
196606,2.47,-1.51
196706,2.29,-1.69
196806,3.25,-0.73
196906,4.38,0.40
197006,2.67,-1.31
197106,3.38,-0.60
197206,8.29,4.31
197306,3.52,-0.46
197406,4.52,0.54
197506,3.87,-0.11
197606,4.33,0.35
197706,2.93,-1.05
197806,3.66,-0.32
197906,4.94,0.96
198006,1.57,-2.41
198106,3.37,-0.61
198206,5.63,1.65
198306,3.38,-0.60
198406,2.15,-1.83
198506,2.63,-1.35
198606,1.52,-2.46
198706,3.62,-0.36
198806,2.40,-1.58
198906,6.65,2.67
199006,1.79,-2.19
199106,3.46,-0.52
199206,3.74,-0.24
199306,2.83,-1.15
199406,3.17,-0.81
199506,7.50,3.52
199606,4.32,0.34
199706,3.46,-0.52
199806,4.30,0.32
199906,1.89,-2.09
200006,5.51,1.53
200106,4.62,0.64
200206,2.54,-1.44
200306,6.49,2.51
200406,5.36,1.38
200506,2.47,-1.51
200606,7.06,3.08
200706,3.77,-0.21
200806,3.01,-0.97
200906,5.20,1.22
201006,2.53,-1.45
201106,3.28,-0.70
201206,2.85,-1.13
201306,7.02,3.04
201406,3.49,-0.49
201506,6.95,2.97
201606,5.04,1.06
201706,3.41,-0.57
201806,5.96,1.98
201906,5.81,1.83
202006,5.13,1.15
202106,4.09,0.11
