Virginia, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,5.59,2.04
195109,2.06,-1.49
195209,3.12,-0.43
195309,2.69,-0.86
195409,1.48,-2.07
195509,3.05,-0.50
195609,4.70,1.15
195709,6.24,2.69
195809,1.50,-2.05
195909,3.52,-0.03
196009,5.06,1.51
196109,2.32,-1.23
196209,3.56,0.01
196309,3.35,-0.20
196409,3.94,0.39
196509,2.61,-0.94
196609,6.54,2.99
196709,2.17,-1.38
196809,1.79,-1.76
196909,3.22,-0.33
197009,1.81,-1.74
197109,3.94,0.39
197209,4.12,0.57
197309,2.29,-1.26
197409,4.77,1.22
197509,8.45,4.90
197609,4.66,1.11
197709,3.03,-0.52
197809,1.45,-2.10
197909,9.08,5.53
198009,2.13,-1.42
198109,3.44,-0.11
198209,2.68,-0.87
198309,2.42,-1.13
198409,1.35,-2.20
198509,2.23,-1.32
198609,2.03,-1.52
198709,7.25,3.70
198809,2.87,-0.68
198909,5.95,2.40
199009,1.86,-1.69
199109,2.48,-1.07
199209,3.75,0.20
199309,3.76,0.21
199409,2.66,-0.89
199509,3.27,-0.28
199609,7.88,4.33
199709,3.10,-0.45
199809,1.81,-1.74
199909,10.37,6.82
200009,4.84,1.29
200109,2.20,-1.35
200209,3.49,-0.06
200309,8.15,4.60
200409,7.25,3.70
200509,0.71,-2.84
200609,6.91,3.36
200709,1.54,-2.01
200809,4.34,0.79
200909,3.72,0.17
201009,5.36,1.81
201109,6.83,3.28
201209,4.14,0.59
201309,1.64,-1.91
201409,2.97,-0.58
201509,5.73,2.18
201609,5.27,1.72
201709,2.03,-1.52
201809,7.96,4.41
201909,0.94,-2.61
202009,6.31,2.76
202109,4.22,0.67
