Washington, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,7.37,1.31
195101,7.92,1.86
195201,5.16,-0.90
195301,14.09,8.03
195401,9.61,3.55
195501,3.12,-2.94
195601,8.23,2.17
195701,3.17,-2.89
195801,7.19,1.13
195901,8.61,2.55
196001,4.36,-1.70
196101,6.72,0.66
196201,3.39,-2.67
196301,1.94,-4.12
196401,9.57,3.51
196501,7.91,1.85
196601,6.77,0.71
196701,9.20,3.14
196801,7.08,1.02
196901,7.57,1.51
197001,9.19,3.13
197101,9.09,3.03
197201,7.72,1.66
197301,4.88,-1.18
197401,9.92,3.86
197501,7.98,1.92
197601,6.71,0.65
197701,1.96,-4.10
197801,4.89,-1.17
197901,2.23,-3.83
198001,5.34,-0.72
198101,2.17,-3.89
198201,7.57,1.51
198301,7.71,1.65
198401,5.70,-0.36
198501,0.73,-5.33
198601,7.38,1.32
198701,5.57,-0.49
198801,4.32,-1.74
198901,5.32,-0.74
199001,9.18,3.12
199101,4.67,-1.39
199201,6.99,0.93
199301,4.09,-1.97
199401,4.15,-1.91
199501,6.40,0.34
199601,6.90,0.84
199701,7.47,1.41
199801,8.21,2.15
199901,7.53,1.47
200001,6.09,0.03
200101,2.98,-3.08
200201,7.33,1.27
200301,8.26,2.20
200401,6.20,0.14
200501,4.58,-1.48
200601,11.78,5.72
200701,5.11,-0.95
200801,5.79,-0.27
200901,6.23,0.17
201001,6.24,0.18
201101,6.53,0.47
201201,6.35,0.29
201301,3.97,-2.09
201401,4.42,-1.64
201501,4.96,-1.10
201601,6.82,0.76
201701,3.64,-2.42
201801,7.74,1.68
201901,4.51,-1.55
202001,10.52,4.46
202101,7.39,1.33
