Washington, Precipitation, May
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,1.29,-0.96
195105,2.11,-0.14
195205,1.44,-0.81
195305,2.96,0.71
195405,1.54,-0.71
195505,1.87,-0.38
195605,1.29,-0.96
195705,2.69,0.44
195805,1.12,-1.13
195905,2.44,0.19
196005,4.20,1.95
196105,3.02,0.77
196205,2.95,0.70
196305,1.78,-0.47
196405,1.40,-0.85
196505,1.94,-0.31
196605,1.38,-0.87
196705,1.34,-0.91
196805,1.96,-0.29
196905,2.14,-0.11
197005,1.18,-1.07
197105,2.04,-0.21
197205,2.03,-0.22
197305,2.08,-0.17
197405,2.70,0.45
197505,2.11,-0.14
197605,2.01,-0.24
197705,3.31,1.06
197805,2.78,0.53
197905,1.68,-0.57
198005,2.61,0.36
198105,2.89,0.64
198205,1.05,-1.20
198305,1.76,-0.49
198405,4.31,2.06
198505,1.58,-0.67
198605,2.68,0.43
198705,2.73,0.48
198805,3.08,0.83
198905,2.74,0.49
199005,3.30,1.05
199105,2.85,0.60
199205,0.61,-1.64
199305,3.04,0.79
199405,2.06,-0.19
199505,1.53,-0.72
199605,3.50,1.25
199705,2.75,0.50
199805,3.66,1.41
199905,2.50,0.25
200005,3.06,0.81
200105,1.92,-0.33
200205,2.00,-0.25
200305,1.48,-0.77
200405,3.06,0.81
200505,3.64,1.39
200605,2.37,0.12
200705,1.42,-0.83
200805,1.58,-0.67
200905,3.12,0.87
201005,4.28,2.03
201105,4.09,1.84
201205,2.31,0.06
201305,3.01,0.76
201405,2.44,0.19
201505,1.51,-0.74
201605,1.54,-0.71
201705,2.42,0.17
201805,1.08,-1.17
201905,1.82,-0.43
202005,3.52,1.27
202105,1.24,-1.01
