Washington, Precipitation, July
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195007,0.94,0.04
195107,0.43,-0.47
195207,0.38,-0.52
195307,0.40,-0.50
195407,1.27,0.37
195507,2.32,1.42
195607,0.59,-0.31
195707,0.91,0.01
195807,0.52,-0.38
195907,0.51,-0.39
196007,0.03,-0.87
196107,0.75,-0.15
196207,0.47,-0.43
196307,1.52,0.62
196407,1.29,0.39
196507,0.77,-0.13
196607,1.67,0.77
196707,0.20,-0.70
196807,0.67,-0.23
196907,0.49,-0.41
197007,0.70,-0.20
197107,0.80,-0.10
197207,1.53,0.63
197307,0.17,-0.73
197407,1.98,1.08
197507,0.84,-0.06
197607,1.03,0.13
197707,0.67,-0.23
197807,1.49,0.59
197907,1.10,0.20
198007,0.74,-0.16
198107,1.11,0.21
198207,1.58,0.68
198307,3.09,2.19
198407,0.20,-0.70
198507,0.20,-0.70
198607,1.26,0.36
198707,1.47,0.57
198807,0.78,-0.12
198907,0.82,-0.08
199007,0.89,-0.01
199107,0.68,-0.22
199207,1.76,0.86
199307,2.59,1.69
199407,0.53,-0.37
199507,1.30,0.40
199607,0.72,-0.18
199707,1.68,0.78
199807,1.07,0.17
199907,0.98,0.08
200007,0.68,-0.22
200107,0.73,-0.17
200207,0.55,-0.35
200307,0.14,-0.76
200407,0.40,-0.50
200507,1.09,0.19
200607,0.38,-0.52
200707,1.06,0.16
200807,0.48,-0.42
200907,0.66,-0.24
201007,0.41,-0.49
201107,1.06,0.16
201207,1.43,0.53
201307,0.16,-0.74
201407,0.77,-0.13
201507,0.42,-0.48
201607,1.16,0.26
201707,0.04,-0.86
201807,0.17,-0.73
201907,0.91,0.01
202007,0.38,-0.52
202107,0.06,-0.84
