West Virginia, Precipitation, May
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,5.04,0.89
195105,4.22,0.07
195205,5.18,1.03
195305,4.62,0.47
195405,3.53,-0.62
195505,3.33,-0.82
195605,4.82,0.67
195705,2.78,-1.37
195805,5.35,1.20
195905,3.70,-0.45
196005,4.74,0.59
196105,3.80,-0.35
196205,3.18,-0.97
196305,2.93,-1.22
196405,1.52,-2.63
196505,2.01,-2.14
196605,2.62,-1.53
196705,7.08,2.93
196805,6.68,2.53
196905,2.49,-1.66
197005,2.17,-1.98
197105,5.80,1.65
197205,4.17,0.02
197305,4.65,0.50
197405,5.71,1.56
197505,5.58,1.43
197605,3.09,-1.06
197705,1.94,-2.21
197805,4.59,0.44
197905,5.03,0.88
198005,3.61,-0.54
198105,5.61,1.46
198205,3.98,-0.17
198305,5.98,1.83
198405,4.38,0.23
198505,6.28,2.13
198605,3.40,-0.75
198705,3.03,-1.12
198805,3.78,-0.37
198905,6.01,1.86
199005,6.00,1.85
199105,2.17,-1.98
199205,4.14,-0.01
199305,2.44,-1.71
199405,4.34,0.19
199505,6.25,2.10
199605,8.92,4.77
199705,4.20,0.05
199805,5.15,1.00
199905,2.79,-1.36
200005,4.19,0.04
200105,6.49,2.34
200205,5.07,0.92
200305,7.25,3.10
200405,6.53,2.38
200505,3.34,-0.81
200605,2.72,-1.43
200705,2.03,-2.12
200805,5.45,1.30
200905,7.07,2.92
201005,5.56,1.41
201105,5.15,1.00
201205,4.94,0.79
201305,3.98,-0.17
201405,4.24,0.09
201505,2.36,-1.79
201605,6.01,1.86
201705,6.16,2.01
201805,6.16,2.01
201905,5.54,1.39
202005,5.70,1.55
202105,3.12,-1.03
