West Virginia, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,6.15,1.78
195106,6.58,2.21
195206,3.78,-0.59
195306,4.44,0.07
195406,3.83,-0.54
195506,3.81,-0.56
195606,4.63,0.26
195706,4.54,0.17
195806,4.31,-0.06
195906,2.77,-1.60
196006,3.41,-0.96
196106,5.62,1.25
196206,3.60,-0.77
196306,4.23,-0.14
196406,3.65,-0.72
196506,2.48,-1.89
196606,1.31,-3.06
196706,2.12,-2.25
196806,2.93,-1.44
196906,3.72,-0.65
197006,4.07,-0.30
197106,3.39,-0.98
197206,6.39,2.02
197306,3.80,-0.57
197406,6.88,2.51
197506,4.28,-0.09
197606,4.30,-0.07
197706,4.79,0.42
197806,3.95,-0.42
197906,4.60,0.23
198006,3.35,-1.02
198106,6.53,2.16
198206,5.58,1.21
198306,3.34,-1.03
198406,2.21,-2.16
198506,3.24,-1.13
198606,3.40,-0.97
198706,3.71,-0.66
198806,1.28,-3.09
198906,6.50,2.13
199006,3.74,-0.63
199106,2.63,-1.74
199206,3.40,-0.97
199306,3.74,-0.63
199406,3.57,-0.80
199506,5.79,1.42
199606,4.08,-0.29
199706,4.29,-0.08
199806,8.43,4.06
199906,1.73,-2.64
200006,5.53,1.16
200106,4.18,-0.19
200206,4.41,0.04
200306,6.66,2.29
200406,4.60,0.23
200506,2.08,-2.29
200606,6.20,1.83
200706,3.58,-0.79
200806,5.69,1.32
200906,4.40,0.03
201006,4.56,0.19
201106,4.05,-0.32
201206,2.64,-1.73
201306,5.96,1.59
201406,4.54,0.17
201506,6.43,2.06
201606,6.26,1.89
201706,4.70,0.33
201806,6.24,1.87
201906,5.06,0.69
202006,5.24,0.87
202106,4.94,0.57
