West Virginia, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,5.94,2.69
195109,3.22,-0.03
195209,2.51,-0.74
195309,2.15,-1.10
195409,2.71,-0.54
195509,1.75,-1.50
195609,4.22,0.97
195709,4.57,1.32
195809,2.77,-0.48
195909,1.24,-2.01
196009,3.69,0.44
196109,2.20,-1.05
196209,3.85,0.60
196309,2.24,-1.01
196409,4.34,1.09
196509,3.53,0.28
196609,5.37,2.12
196709,2.62,-0.63
196809,2.64,-0.61
196909,3.23,-0.02
197009,3.71,0.46
197109,6.34,3.09
197209,3.24,-0.01
197309,3.45,0.20
197409,3.47,0.22
197509,5.62,2.37
197609,4.77,1.52
197709,2.91,-0.34
197809,1.79,-1.46
197909,5.20,1.95
198009,2.47,-0.78
198109,4.10,0.85
198209,2.82,-0.43
198309,1.52,-1.73
198409,1.82,-1.43
198509,0.71,-2.54
198609,3.52,0.27
198709,4.60,1.35
198809,4.39,1.14
198909,4.69,1.44
199009,3.40,0.15
199109,3.21,-0.04
199209,2.49,-0.76
199309,5.67,2.42
199409,2.12,-1.13
199509,2.75,-0.50
199609,6.77,3.52
199709,2.98,-0.27
199809,2.01,-1.24
199909,3.28,0.03
200009,4.42,1.17
200109,2.49,-0.76
200209,3.87,0.62
200309,6.69,3.44
200409,7.46,4.21
200509,0.91,-2.34
200609,4.98,1.73
200709,2.38,-0.87
200809,1.78,-1.47
200909,3.26,0.01
201009,2.61,-0.64
201109,6.43,3.18
201209,5.23,1.98
201309,2.39,-0.86
201409,2.20,-1.05
201509,4.05,0.80
201609,2.86,-0.39
201709,1.91,-1.34
201809,9.41,6.16
201909,0.68,-2.57
202009,3.05,-0.20
202109,4.54,1.29
