Wisconsin, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,2.41,1.26
195101,0.83,-0.32
195201,1.74,0.59
195301,0.90,-0.25
195401,0.70,-0.45
195501,0.58,-0.57
195601,0.48,-0.67
195701,0.37,-0.78
195801,0.52,-0.63
195901,0.74,-0.41
196001,1.34,0.19
196101,0.18,-0.97
196201,0.85,-0.30
196301,0.53,-0.62
196401,0.72,-0.43
196501,0.90,-0.25
196601,1.06,-0.09
196701,2.62,1.47
196801,0.88,-0.27
196901,2.70,1.55
197001,0.67,-0.48
197101,1.79,0.64
197201,0.92,-0.23
197301,1.18,0.03
197401,1.01,-0.14
197501,1.65,0.50
197601,1.34,0.19
197701,0.57,-0.58
197801,0.89,-0.26
197901,1.54,0.39
198001,1.69,0.54
198101,0.13,-1.02
198201,1.80,0.65
198301,1.03,-0.12
198401,0.51,-0.64
198501,0.71,-0.44
198601,0.67,-0.48
198701,0.67,-0.48
198801,1.31,0.16
198901,0.71,-0.44
199001,0.94,-0.21
199101,0.65,-0.50
199201,0.79,-0.36
199301,1.42,0.27
199401,1.27,0.12
199501,0.74,-0.41
199601,2.64,1.49
199701,1.98,0.83
199801,1.79,0.64
199901,2.13,0.98
200001,1.17,0.02
200101,1.17,0.02
200201,0.50,-0.65
200301,0.36,-0.79
200401,0.81,-0.34
200501,1.66,0.51
200601,1.40,0.25
200701,0.93,-0.22
200801,1.32,0.17
200901,0.63,-0.52
201001,0.89,-0.26
201101,0.91,-0.24
201201,1.02,-0.13
201301,1.69,0.54
201401,1.13,-0.02
201501,0.53,-0.62
201601,0.84,-0.31
201701,2.03,0.88
201801,1.20,0.05
201901,1.43,0.28
202001,1.34,0.19
202101,0.84,-0.31
