Wisconsin, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,1.40,-0.98
195110,3.92,1.54
195210,0.17,-2.21
195310,0.36,-2.02
195410,4.05,1.67
195510,3.16,0.78
195610,1.02,-1.36
195710,1.45,-0.93
195810,2.17,-0.21
195910,4.10,1.72
196010,2.39,0.01
196110,3.39,1.01
196210,2.10,-0.28
196310,1.09,-1.29
196410,0.50,-1.88
196510,1.62,-0.76
196610,2.32,-0.06
196710,3.64,1.26
196810,2.62,0.24
196910,3.59,1.21
197010,4.12,1.74
197110,2.99,0.61
197210,2.69,0.31
197310,2.66,0.28
197410,1.84,-0.54
197510,0.94,-1.44
197610,0.99,-1.39
197710,2.52,0.14
197810,1.44,-0.94
197910,3.64,1.26
198010,1.88,-0.50
198110,3.29,0.91
198210,3.64,1.26
198310,3.06,0.68
198410,4.68,2.30
198510,3.25,0.87
198610,2.69,0.31
198710,1.90,-0.48
198810,1.67,-0.71
198910,2.41,0.03
199010,2.81,0.43
199110,3.36,0.98
199210,1.65,-0.73
199310,1.61,-0.77
199410,1.73,-0.65
199510,4.95,2.57
199610,3.61,1.23
199710,2.18,-0.20
199810,2.74,0.36
199910,1.28,-1.10
200010,0.89,-1.49
200110,2.43,0.05
200210,3.93,1.55
200310,1.37,-1.01
200410,3.61,1.23
200510,2.92,0.54
200610,2.32,-0.06
200710,4.85,2.47
200810,2.12,-0.26
200910,5.36,2.98
201010,2.34,-0.04
201110,1.51,-0.87
201210,3.78,1.40
201310,3.54,1.16
201410,3.07,0.69
201510,2.70,0.32
201610,2.95,0.57
201710,4.30,1.92
201810,5.25,2.87
201910,4.88,2.50
202010,3.00,0.62
202110,2.02,-0.36
