Wisconsin, Precipitation, November
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195011,1.26,-0.74
195111,1.90,-0.10
195211,1.91,-0.09
195311,1.49,-0.51
195411,0.91,-1.09
195511,1.12,-0.88
195611,2.38,0.38
195711,2.91,0.91
195811,1.86,-0.14
195911,1.46,-0.54
196011,1.99,-0.01
196111,2.74,0.74
196211,0.50,-1.50
196311,1.54,-0.46
196411,2.09,0.09
196511,2.81,0.81
196611,1.17,-0.83
196711,0.93,-1.07
196811,1.11,-0.89
196911,0.95,-1.05
197011,2.61,0.61
197111,2.74,0.74
197211,1.61,-0.39
197311,1.55,-0.45
197411,1.94,-0.06
197511,4.04,2.04
197611,0.23,-1.77
197711,2.56,0.56
197811,2.27,0.27
197911,2.01,0.01
198011,0.77,-1.23
198111,0.89,-1.11
198211,3.67,1.67
198311,3.72,1.72
198411,2.20,0.20
198511,4.26,2.26
198611,1.14,-0.86
198711,2.88,0.88
198811,3.42,1.42
198911,1.30,-0.70
199011,1.26,-0.74
199111,5.28,3.28
199211,3.79,1.79
199311,1.78,-0.22
199411,2.21,0.21
199511,1.97,-0.03
199611,2.28,0.28
199711,0.73,-1.27
199811,1.77,-0.23
199911,1.25,-0.75
200011,2.71,0.71
200111,2.26,0.26
200211,0.39,-1.61
200311,3.17,1.17
200411,1.65,-0.35
200511,2.92,0.92
200611,1.71,-0.29
200711,0.31,-1.69
200811,1.28,-0.72
200911,0.85,-1.15
201011,1.71,-0.29
201111,1.95,-0.05
201211,1.11,-0.89
201311,2.33,0.33
201411,2.03,0.03
201511,3.42,1.42
201611,1.84,-0.16
201711,0.91,-1.09
201811,1.94,-0.06
201911,2.03,0.03
202011,2.06,0.06
202111,1.24,-0.76
