Wisconsin, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,1.98,0.71
195112,1.21,-0.06
195212,1.17,-0.10
195312,1.84,0.57
195412,0.80,-0.47
195512,1.03,-0.24
195612,0.72,-0.55
195712,1.03,-0.24
195812,0.35,-0.92
195912,2.27,1.00
196012,0.46,-0.81
196112,1.27,0.00
196212,0.73,-0.54
196312,0.76,-0.51
196412,1.10,-0.17
196512,2.48,1.21
196612,1.69,0.42
196712,0.92,-0.35
196812,2.98,1.71
196912,1.57,0.30
197012,1.43,0.16
197112,2.44,1.17
197212,2.42,1.15
197312,1.76,0.49
197412,1.23,-0.04
197512,1.14,-0.13
197612,0.47,-0.80
197712,1.76,0.49
197812,1.34,0.07
197912,0.83,-0.44
198012,0.97,-0.30
198112,1.05,-0.22
198212,2.81,1.54
198312,1.45,0.18
198412,2.22,0.95
198512,1.61,0.34
198612,0.50,-0.77
198712,2.06,0.79
198812,1.21,-0.06
198912,0.47,-0.80
199012,1.57,0.30
199112,1.28,0.01
199212,1.84,0.57
199312,0.58,-0.69
199412,0.53,-0.74
199512,0.99,-0.28
199612,1.81,0.54
199712,0.63,-0.64
199812,0.69,-0.58
199912,0.71,-0.56
200012,1.51,0.24
200112,1.23,-0.04
200212,0.58,-0.69
200312,1.31,0.04
200412,1.50,0.23
200512,1.02,-0.25
200612,1.78,0.51
200712,2.61,1.34
200812,2.49,1.22
200912,2.29,1.02
201012,1.72,0.45
201112,1.45,0.18
201212,1.74,0.47
201312,1.58,0.31
201412,1.36,0.09
201512,4.28,3.01
201612,1.98,0.71
201712,1.07,-0.20
201812,1.55,0.28
201912,2.66,1.39
202012,0.78,-0.49
202112,1.91,0.64
