Wisconsin, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,4.03,-0.14
195106,4.88,0.71
195206,4.78,0.61
195306,4.86,0.69
195406,6.13,1.96
195506,3.55,-0.62
195606,4.07,-0.10
195706,4.11,-0.06
195806,3.32,-0.85
195906,2.92,-1.25
196006,3.96,-0.21
196106,3.03,-1.14
196206,3.16,-1.01
196306,3.09,-1.08
196406,2.10,-2.07
196506,2.78,-1.39
196606,3.06,-1.11
196706,7.23,3.06
196806,7.84,3.67
196906,6.06,1.89
197006,2.63,-1.54
197106,3.58,-0.59
197206,3.11,-1.06
197306,3.07,-1.10
197406,4.35,0.18
197506,4.77,0.60
197606,2.15,-2.02
197706,4.04,-0.13
197806,4.47,0.30
197906,4.35,0.18
198006,5.00,0.83
198106,5.09,0.92
198206,2.71,-1.46
198306,2.31,-1.86
198406,5.34,1.17
198506,2.98,-1.19
198606,4.41,0.24
198706,2.34,-1.83
198806,1.54,-2.63
198906,2.63,-1.54
199006,6.63,2.46
199106,3.66,-0.51
199206,2.15,-2.02
199306,7.12,2.95
199406,3.67,-0.50
199506,2.25,-1.92
199606,6.40,2.23
199706,4.11,-0.06
199806,6.22,2.05
199906,4.18,0.01
200006,6.69,2.52
200106,4.73,0.56
200206,5.64,1.47
200306,3.35,-0.82
200406,4.57,0.40
200506,3.81,-0.36
200606,2.22,-1.95
200706,2.99,-1.18
200806,6.19,2.02
200906,3.29,-0.88
201006,7.12,2.95
201106,4.22,0.05
201206,3.34,-0.83
201306,6.21,2.04
201406,6.71,2.54
201506,4.44,0.27
201606,5.36,1.19
201706,5.94,1.77
201806,5.44,1.27
201906,3.91,-0.26
202006,5.00,0.83
202106,3.92,-0.25
