Wyoming, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,0.62,-0.58
195110,1.80,0.60
195210,0.15,-1.05
195310,0.66,-0.54
195410,0.96,-0.24
195510,0.70,-0.50
195610,0.89,-0.31
195710,1.45,0.25
195810,0.24,-0.96
195910,1.12,-0.08
196010,1.14,-0.06
196110,1.67,0.47
196210,0.95,-0.25
196310,0.71,-0.49
196410,0.44,-0.76
196510,0.30,-0.90
196610,1.22,0.02
196710,1.21,0.01
196810,0.66,-0.54
196910,1.60,0.40
197010,1.21,0.01
197110,2.58,1.38
197210,1.84,0.64
197310,0.77,-0.43
197410,1.67,0.47
197510,1.70,0.50
197610,0.74,-0.46
197710,0.93,-0.27
197810,0.47,-0.73
197910,1.16,-0.04
198010,1.19,-0.01
198110,1.58,0.38
198210,1.38,0.18
198310,1.47,0.27
198410,0.90,-0.30
198510,1.00,-0.20
198610,1.79,0.59
198710,0.50,-0.70
198810,0.26,-0.94
198910,1.09,-0.11
199010,1.14,-0.06
199110,1.01,-0.19
199210,0.69,-0.51
199310,1.51,0.31
199410,2.87,1.67
199510,1.49,0.29
199610,1.43,0.23
199710,1.38,0.18
199810,2.81,1.61
199910,0.39,-0.81
200010,0.98,-0.22
200110,1.10,-0.10
200210,1.23,0.03
200310,0.69,-0.51
200410,1.75,0.55
200510,1.57,0.37
200610,1.36,0.16
200710,1.92,0.72
200810,1.23,0.03
200910,2.02,0.82
201010,1.28,0.08
201110,1.80,0.60
201210,1.11,-0.09
201310,2.53,1.33
201410,0.57,-0.63
201510,1.11,-0.09
201610,1.81,0.61
201710,0.79,-0.41
201810,1.28,0.08
201910,1.19,-0.01
202010,1.01,-0.19
202110,2.09,0.89
