Wyoming, Precipitation, March
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,1.53,0.28
195103,1.09,-0.16
195203,1.35,0.10
195303,0.75,-0.50
195403,2.27,1.02
195503,1.17,-0.08
195603,0.85,-0.40
195703,1.19,-0.06
195803,1.40,0.15
195903,1.19,-0.06
196003,0.84,-0.41
196103,1.21,-0.04
196203,0.88,-0.37
196303,0.82,-0.43
196403,1.10,-0.15
196503,0.76,-0.49
196603,0.82,-0.43
196703,1.24,-0.01
196803,0.97,-0.28
196903,0.57,-0.68
197003,1.62,0.37
197103,1.36,0.11
197203,1.05,-0.20
197303,1.54,0.29
197403,1.33,0.08
197503,1.52,0.27
197603,1.02,-0.23
197703,1.54,0.29
197803,0.76,-0.49
197903,0.90,-0.35
198003,1.59,0.34
198103,1.18,-0.07
198203,1.46,0.21
198303,1.92,0.67
198403,1.22,-0.03
198503,1.14,-0.11
198603,1.00,-0.25
198703,1.27,0.02
198803,1.26,0.01
198903,1.56,0.31
199003,1.44,0.19
199103,1.30,0.05
199203,1.27,0.02
199303,1.15,-0.10
199403,0.82,-0.43
199503,1.43,0.18
199603,1.42,0.17
199703,0.89,-0.36
199803,1.82,0.57
199903,0.75,-0.50
200003,1.06,-0.19
200103,0.68,-0.57
200203,1.38,0.13
200303,2.06,0.81
200403,0.44,-0.81
200503,1.01,-0.24
200603,1.13,-0.12
200703,1.41,0.16
200803,1.30,0.05
200903,1.60,0.35
201003,1.11,-0.14
201103,1.48,0.23
201203,0.57,-0.68
201303,0.71,-0.54
201403,1.76,0.51
201503,0.58,-0.67
201603,1.99,0.74
201703,1.88,0.63
201803,1.40,0.15
201903,1.27,0.02
202003,1.03,-0.22
202103,1.30,0.05
