Colorado, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,0.27,-1.08
195110,1.61,0.26
195210,0.06,-1.29
195310,1.41,0.06
195410,1.22,-0.13
195510,0.46,-0.89
195610,0.74,-0.61
195710,2.12,0.77
195810,0.71,-0.64
195910,2.51,1.16
196010,2.07,0.72
196110,1.42,0.07
196210,1.03,-0.32
196310,0.89,-0.46
196410,0.15,-1.20
196510,1.18,-0.17
196610,0.99,-0.36
196710,0.70,-0.65
196810,0.78,-0.57
196910,3.80,2.45
197010,1.87,0.52
197110,1.64,0.29
197210,2.72,1.37
197310,0.65,-0.70
197410,1.71,0.36
197510,0.70,-0.65
197610,0.73,-0.62
197710,0.72,-0.63
197810,1.09,-0.26
197910,1.16,-0.19
198010,0.89,-0.46
198110,1.95,0.60
198210,1.06,-0.29
198310,0.80,-0.55
198410,3.09,1.74
198510,1.73,0.38
198610,2.12,0.77
198710,0.93,-0.42
198810,0.26,-1.09
198910,0.79,-0.56
199010,1.61,0.26
199110,1.06,-0.29
199210,0.92,-0.43
199310,1.95,0.60
199410,1.98,0.63
199510,0.59,-0.76
199610,1.63,0.28
199710,2.25,0.90
199810,2.50,1.15
199910,0.57,-0.78
200010,1.76,0.41
200110,0.65,-0.70
200210,1.62,0.27
200310,0.37,-0.98
200410,1.47,0.12
200510,2.33,0.98
200610,2.83,1.48
200710,1.13,-0.22
200810,1.27,-0.08
200910,2.10,0.75
201010,1.41,0.06
201110,1.66,0.31
201210,0.72,-0.63
201310,1.51,0.16
201410,1.08,-0.27
201510,1.82,0.47
201610,0.49,-0.86
201710,0.93,-0.42
201810,2.39,1.04
201910,0.97,-0.38
202010,0.62,-0.73
202110,1.12,-0.23
