Colorado, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,0.84,-0.25
195102,0.97,-0.12
195202,0.82,-0.27
195302,0.74,-0.35
195402,0.38,-0.71
195502,1.34,0.25
195602,1.11,0.02
195702,0.82,-0.27
195802,1.28,0.19
195902,1.41,0.32
196002,1.96,0.87
196102,0.92,-0.17
196202,1.74,0.65
196302,0.88,-0.21
196402,0.90,-0.19
196502,0.99,-0.10
196602,0.78,-0.31
196702,0.71,-0.38
196802,1.30,0.21
196902,0.95,-0.14
197002,0.33,-0.76
197102,1.20,0.11
197202,0.38,-0.71
197302,0.40,-0.69
197402,0.61,-0.48
197502,1.05,-0.04
197602,1.24,0.15
197702,0.59,-0.50
197802,1.07,-0.02
197902,0.84,-0.25
198002,1.74,0.65
198102,0.49,-0.60
198202,0.74,-0.35
198302,1.04,-0.05
198402,0.90,-0.19
198502,0.81,-0.28
198602,1.54,0.45
198702,1.81,0.72
198802,0.70,-0.39
198902,1.52,0.43
199002,1.08,-0.01
199102,0.44,-0.65
199202,0.83,-0.26
199302,2.04,0.95
199402,1.12,0.03
199502,1.13,0.04
199602,1.27,0.18
199702,1.06,-0.03
199802,1.08,-0.01
199902,0.66,-0.43
200002,1.19,0.10
200102,1.14,0.05
200202,0.48,-0.61
200302,1.49,0.40
200402,1.27,0.18
200502,1.06,-0.03
200602,0.46,-0.63
200702,0.96,-0.13
200802,1.44,0.35
200902,0.78,-0.31
201002,1.21,0.12
201102,1.17,0.08
201202,1.36,0.27
201302,0.89,-0.20
201402,1.18,0.09
201502,1.35,0.26
201602,0.85,-0.24
201702,1.00,-0.09
201802,1.13,0.04
201902,1.57,0.48
202002,1.09,0.00
202102,1.11,0.02
