Colorado, Precipitation, May
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,1.22,-0.80
195105,1.95,-0.07
195205,1.95,-0.07
195305,1.92,-0.10
195405,1.69,-0.33
195505,2.81,0.79
195605,1.22,-0.80
195705,4.36,2.34
195805,2.09,0.07
195905,2.06,0.04
196005,1.56,-0.46
196105,2.02,0.00
196205,1.67,-0.35
196305,0.69,-1.33
196405,1.85,-0.17
196505,2.01,-0.01
196605,0.98,-1.04
196705,2.68,0.66
196805,1.61,-0.41
196905,2.43,0.41
197005,0.84,-1.18
197105,2.05,0.03
197205,1.39,-0.63
197305,2.59,0.57
197405,0.43,-1.59
197505,2.31,0.29
197605,1.94,-0.08
197705,1.81,-0.21
197805,2.91,0.89
197905,3.04,1.02
198005,2.89,0.87
198105,3.24,1.22
198205,2.70,0.68
198305,2.73,0.71
198405,1.22,-0.80
198505,2.15,0.13
198605,1.50,-0.52
198705,3.22,1.20
198805,2.43,0.41
198905,1.38,-0.64
199005,1.97,-0.05
199105,1.63,-0.39
199205,2.08,0.06
199305,2.18,0.16
199405,1.67,-0.35
199505,4.58,2.56
199605,2.01,-0.01
199705,1.91,-0.11
199805,1.06,-0.96
199905,2.64,0.62
200005,1.20,-0.82
200105,2.69,0.67
200205,0.57,-1.45
200305,1.75,-0.27
200405,0.70,-1.32
200505,1.49,-0.53
200605,0.91,-1.11
200705,2.09,0.07
200805,1.55,-0.47
200905,1.94,-0.08
201005,1.34,-0.68
201105,2.57,0.55
201205,0.91,-1.11
201305,1.55,-0.47
201405,2.15,0.13
201505,5.30,3.28
201605,2.07,0.05
201705,2.82,0.80
201805,1.54,-0.48
201905,2.84,0.82
202005,1.07,-0.95
202105,2.99,0.97
