Colorado, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,0.94,-0.60
195106,1.87,0.33
195206,0.63,-0.91
195306,1.06,-0.48
195406,0.68,-0.86
195506,1.11,-0.43
195606,0.74,-0.80
195706,1.80,0.26
195806,1.39,-0.15
195906,1.38,-0.16
196006,1.05,-0.49
196106,1.42,-0.12
196206,1.81,0.27
196306,1.55,0.01
196406,1.15,-0.39
196506,3.49,1.95
196606,1.35,-0.19
196706,2.81,1.27
196806,0.66,-0.88
196906,3.17,1.63
197006,1.89,0.35
197106,0.59,-0.95
197206,1.90,0.36
197306,1.31,-0.23
197406,1.49,-0.05
197506,1.43,-0.11
197606,0.90,-0.64
197706,0.92,-0.62
197806,1.40,-0.14
197906,1.80,0.26
198006,0.52,-1.02
198106,1.19,-0.35
198206,2.03,0.49
198306,2.38,0.84
198406,2.09,0.55
198506,0.89,-0.65
198606,2.08,0.54
198706,1.74,0.20
198806,1.70,0.16
198906,1.87,0.33
199006,0.74,-0.80
199106,1.88,0.34
199206,2.22,0.68
199306,1.36,-0.18
199406,1.17,-0.37
199506,2.92,1.38
199606,1.68,0.14
199706,2.21,0.67
199806,1.21,-0.33
199906,1.64,0.10
200006,1.00,-0.54
200106,0.94,-0.60
200206,0.87,-0.67
200306,2.07,0.53
200406,1.99,0.45
200506,2.20,0.66
200606,0.81,-0.73
200706,1.17,-0.37
200806,0.98,-0.56
200906,2.64,1.10
201006,1.35,-0.19
201106,0.94,-0.60
201206,0.42,-1.12
201306,0.66,-0.88
201406,1.19,-0.35
201506,1.91,0.37
201606,1.35,-0.19
201706,0.69,-0.85
201806,0.98,-0.56
201906,1.78,0.24
202006,1.15,-0.39
202106,1.19,-0.35
