Alaska, Precipitation, October
Units: Inches
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
195010,2.39,-2.00
195110,2.89,-1.50
195210,5.65,1.26
195310,4.12,-0.27
195410,3.98,-0.41
195510,3.99,-0.40
195610,3.54,-0.85
195710,3.63,-0.76
195810,4.76,0.37
195910,3.50,-0.89
196010,4.22,-0.17
196110,4.91,0.52
196210,3.76,-0.63
196310,4.44,0.05
196410,4.23,-0.16
196510,4.41,0.02
196610,4.32,-0.07
196710,2.91,-1.48
196810,3.02,-1.37
196910,4.03,-0.36
197010,4.47,0.08
197110,5.06,0.67
197210,5.15,0.76
197310,3.83,-0.56
197410,5.41,1.02
197510,3.12,-1.27
197610,3.74,-0.65
197710,4.33,-0.06
197810,6.05,1.66
197910,5.01,0.62
198010,5.18,0.79
198110,4.34,-0.05
198210,4.13,-0.26
198310,4.50,0.11
198410,2.74,-1.65
198510,3.63,-0.76
198610,5.79,1.40
198710,5.72,1.33
198810,4.62,0.23
198910,4.74,0.35
199010,3.92,-0.47
199110,4.08,-0.31
199210,3.45,-0.94
199310,5.04,0.65
199410,4.57,0.18
199510,3.39,-1.00
199610,3.04,-1.35
199710,3.17,-1.22
199810,3.99,-0.40
199910,5.16,0.77
200010,4.29,-0.10
200110,4.19,-0.20
200210,5.72,1.33
200310,4.13,-0.26
200410,5.00,0.61
200510,3.95,-0.44
200610,6.04,1.65
200710,3.93,-0.46
200810,5.05,0.66
200910,3.57,-0.82
201010,4.18,-0.21
201110,4.16,-0.23
201210,2.95,-1.44
201310,6.43,2.04
201410,3.20,-1.19
201510,4.16,-0.23
201610,1.70,-2.69
201710,5.23,0.84
201810,4.92,0.53
201910,4.82,0.43
202010,3.39,-1.00
202110,4.81,0.42
