Alaska, Precipitation, April
Units: Inches
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
195004,1.63,-0.26
195104,2.12,0.23
195204,2.09,0.20
195304,1.46,-0.43
195404,0.96,-0.93
195504,1.87,-0.02
195604,1.79,-0.10
195704,1.49,-0.40
195804,1.38,-0.51
195904,2.22,0.33
196004,1.88,-0.01
196104,2.70,0.81
196204,1.68,-0.21
196304,2.66,0.77
196404,2.60,0.71
196504,2.40,0.51
196604,1.43,-0.46
196704,2.22,0.33
196804,2.14,0.25
196904,1.19,-0.70
197004,2.39,0.50
197104,1.90,0.01
197204,1.67,-0.22
197304,1.89,0.00
197404,1.78,-0.11
197504,2.67,0.78
197604,2.02,0.13
197704,3.11,1.22
197804,1.49,-0.40
197904,1.97,0.08
198004,2.38,0.49
198104,1.43,-0.46
198204,2.08,0.19
198304,2.76,0.87
198404,1.56,-0.33
198504,1.79,-0.10
198604,1.61,-0.28
198704,1.78,-0.11
198804,1.94,0.05
198904,1.51,-0.38
199004,1.24,-0.65
199104,1.90,0.01
199204,1.43,-0.46
199304,1.13,-0.76
199404,1.80,-0.09
199504,1.91,0.02
199604,1.45,-0.44
199704,1.67,-0.22
199804,2.52,0.63
199904,2.70,0.81
200004,1.81,-0.08
200104,2.34,0.45
200204,1.88,-0.01
200304,1.34,-0.55
200404,2.49,0.60
200504,1.55,-0.34
200604,2.85,0.96
200704,1.74,-0.15
200804,2.51,0.62
200904,1.51,-0.38
201004,1.79,-0.10
201104,1.65,-0.24
201204,1.05,-0.84
201304,1.89,0.00
201404,1.42,-0.47
201504,2.73,0.84
201604,2.30,0.41
201704,0.90,-0.99
201804,2.08,0.19
201904,1.92,0.03
202004,2.73,0.84
202104,2.07,0.18
