Connecticut, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,3.76,0.03
195101,3.60,-0.13
195201,5.29,1.56
195301,6.54,2.81
195401,2.22,-1.51
195501,0.78,-2.95
195601,3.21,-0.52
195701,2.25,-1.48
195801,6.48,2.75
195901,2.94,-0.79
196001,3.17,-0.56
196101,2.69,-1.04
196201,3.81,0.08
196301,2.82,-0.91
196401,4.69,0.96
196501,2.87,-0.86
196601,2.74,-0.99
196701,1.47,-2.26
196801,2.57,-1.16
196901,1.54,-2.19
197001,0.58,-3.15
197101,2.33,-1.40
197201,2.19,-1.54
197301,4.35,0.62
197401,4.45,0.72
197501,5.11,1.38
197601,6.34,2.61
197701,2.45,-1.28
197801,9.19,5.46
197901,11.97,8.24
198001,1.36,-2.37
198101,0.68,-3.05
198201,5.15,1.42
198301,4.80,1.07
198401,2.01,-1.72
198501,1.05,-2.68
198601,4.96,1.23
198701,5.37,1.64
198801,3.09,-0.64
198901,1.70,-2.03
199001,4.90,1.17
199101,2.85,-0.88
199201,2.69,-1.04
199301,2.73,-1.00
199401,5.67,1.94
199501,3.97,0.24
199601,6.73,3.00
199701,3.91,0.18
199801,4.67,0.94
199901,7.30,3.57
200001,3.45,-0.28
200101,2.45,-1.28
200201,1.94,-1.79
200301,2.65,-1.08
200401,1.89,-1.84
200501,4.85,1.12
200601,5.91,2.18
200701,3.43,-0.30
200801,2.45,-1.28
200901,3.00,-0.73
201001,2.94,-0.79
201101,3.36,-0.37
201201,2.86,-0.87
201301,1.72,-2.01
201401,2.80,-0.93
201501,3.47,-0.26
201601,2.14,-1.59
201701,3.56,-0.17
201801,3.86,0.13
201901,5.90,2.17
202001,2.05,-1.68
202101,2.12,-1.61
