Connecticut, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,1.97,-1.70
195110,4.22,0.55
195210,1.03,-2.64
195310,4.72,1.05
195410,2.41,-1.26
195510,12.22,8.55
195610,2.26,-1.41
195710,3.13,-0.54
195810,5.30,1.63
195910,7.09,3.42
196010,2.62,-1.05
196110,2.18,-1.49
196210,4.70,1.03
196310,0.44,-3.23
196410,1.98,-1.69
196510,3.50,-0.17
196610,3.90,0.23
196710,2.78,-0.89
196810,2.46,-1.21
196910,2.08,-1.59
197010,2.55,-1.12
197110,3.71,0.04
197210,4.79,1.12
197310,3.14,-0.53
197410,2.94,-0.73
197510,5.07,1.40
197610,5.78,2.11
197710,6.22,2.55
197810,3.01,-0.66
197910,4.10,0.43
198010,3.76,0.09
198110,5.59,1.92
198210,2.38,-1.29
198310,6.35,2.68
198410,3.49,-0.18
198510,2.20,-1.47
198610,2.66,-1.01
198710,4.04,0.37
198810,3.00,-0.67
198910,8.15,4.48
199010,7.86,4.19
199110,3.04,-0.63
199210,2.35,-1.32
199310,3.87,0.20
199410,1.17,-2.50
199510,8.97,5.30
199610,7.17,3.50
199710,1.83,-1.84
199810,5.07,1.40
199910,4.48,0.81
200010,1.14,-2.53
200110,1.26,-2.41
200210,4.30,0.63
200310,6.07,2.40
200410,2.21,-1.46
200510,15.92,12.25
200610,7.06,3.39
200710,3.76,0.09
200810,3.04,-0.63
200910,6.08,2.41
201010,5.47,1.80
201110,5.60,1.93
201210,4.36,0.69
201310,1.36,-2.31
201410,4.67,1.00
201510,3.31,-0.36
201610,3.88,0.21
201710,8.26,4.59
201810,4.99,1.32
201910,7.19,3.52
202010,5.31,1.64
202110,5.99,2.32
