Connecticut, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,3.80,0.52
195102,4.94,1.66
195202,2.79,-0.49
195302,3.37,0.09
195402,2.30,-0.98
195502,3.93,0.65
195602,4.12,0.84
195702,1.95,-1.33
195802,3.14,-0.14
195902,2.89,-0.39
196002,4.91,1.63
196102,3.56,0.28
196202,4.23,0.95
196302,3.08,-0.20
196402,2.95,-0.33
196502,3.78,0.50
196602,3.58,0.30
196702,2.71,-0.57
196802,1.06,-2.22
196902,3.03,-0.25
197002,4.74,1.46
197102,4.66,1.38
197202,4.76,1.48
197302,3.45,0.17
197402,2.42,-0.86
197502,3.07,-0.21
197602,3.15,-0.13
197702,2.75,-0.53
197802,1.53,-1.75
197902,3.49,0.21
198002,0.92,-2.36
198102,7.84,4.56
198202,3.35,0.07
198302,3.79,0.51
198402,5.31,2.03
198502,2.34,-0.94
198602,3.40,0.12
198702,0.49,-2.79
198802,4.00,0.72
198902,2.64,-0.64
199002,3.29,0.01
199102,2.00,-1.28
199202,2.11,-1.17
199302,2.94,-0.34
199402,2.83,-0.45
199502,2.84,-0.44
199602,2.68,-0.60
199702,2.07,-1.21
199802,3.97,0.69
199902,3.73,0.45
200002,2.59,-0.69
200102,2.56,-0.72
200202,1.67,-1.61
200302,3.82,0.54
200402,2.17,-1.11
200502,2.49,-0.79
200602,2.48,-0.80
200702,2.01,-1.27
200802,8.34,5.06
200902,1.48,-1.80
201002,4.51,1.23
201102,3.84,0.56
201202,1.09,-2.19
201302,3.62,0.34
201402,3.42,0.14
201502,2.01,-1.27
201602,4.94,1.66
201702,2.14,-1.14
201802,5.28,2.00
201902,3.01,-0.27
202002,3.24,-0.04
202102,3.04,-0.24
