Connecticut, Precipitation, March
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,3.17,-1.02
195103,6.09,1.90
195203,4.07,-0.12
195303,10.54,6.35
195403,4.07,-0.12
195503,4.63,0.44
195603,5.14,0.95
195703,2.29,-1.90
195803,3.61,-0.58
195903,4.95,0.76
196003,3.05,-1.14
196103,3.61,-0.58
196203,1.99,-2.20
196303,3.57,-0.62
196403,2.76,-1.43
196503,1.76,-2.43
196603,2.91,-1.28
196703,5.18,0.99
196803,5.36,1.17
196903,2.91,-1.28
197003,3.70,-0.49
197103,3.11,-1.08
197203,6.01,1.82
197303,3.77,-0.42
197403,5.04,0.85
197503,3.83,-0.36
197603,2.89,-1.30
197703,7.15,2.96
197803,3.66,-0.53
197903,4.33,0.14
198003,8.58,4.39
198103,0.68,-3.51
198203,2.66,-1.53
198303,7.70,3.51
198403,5.03,0.84
198503,2.44,-1.75
198603,3.17,-1.02
198703,4.29,0.10
198803,2.89,-1.30
198903,3.42,-0.77
199003,2.73,-1.46
199103,5.07,0.88
199203,4.32,0.13
199303,6.60,2.41
199403,5.89,1.70
199503,2.40,-1.79
199603,2.91,-1.28
199703,4.11,-0.08
199803,6.10,1.91
199903,5.42,1.23
200003,4.11,-0.08
200103,7.68,3.49
200203,4.12,-0.07
200303,4.30,0.11
200403,2.97,-1.22
200503,4.01,-0.18
200603,0.72,-3.47
200703,5.24,1.05
200803,5.51,1.32
200903,2.35,-1.84
201003,9.95,5.76
201103,4.74,0.55
201203,1.30,-2.89
201303,2.35,-1.84
201403,4.22,0.03
201503,3.05,-1.14
201603,2.16,-2.03
201703,3.33,-0.86
201803,3.47,-0.72
201903,2.76,-1.43
202003,3.88,-0.31
202103,2.65,-1.54
