Connecticut, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,3.93,0.23
195106,3.16,-0.54
195206,4.76,1.06
195306,2.43,-1.27
195406,2.15,-1.55
195506,3.09,-0.61
195606,3.15,-0.55
195706,1.34,-2.36
195806,2.53,-1.17
195906,4.76,1.06
196006,2.96,-0.74
196106,2.98,-0.72
196206,3.98,0.28
196306,3.48,-0.22
196406,2.10,-1.60
196506,1.75,-1.95
196606,1.92,-1.78
196706,3.51,-0.19
196806,6.20,2.50
196906,2.61,-1.09
197006,2.90,-0.80
197106,1.51,-2.19
197206,11.52,7.82
197306,4.92,1.22
197406,2.93,-0.77
197506,4.42,0.72
197606,2.32,-1.38
197706,4.13,0.43
197806,2.68,-1.02
197906,1.49,-2.21
198006,3.48,-0.22
198106,3.23,-0.47
198206,12.09,8.39
198306,3.11,-0.59
198406,4.00,0.30
198506,4.45,0.75
198606,5.26,1.56
198706,2.74,-0.96
198806,1.08,-2.62
198906,6.37,2.67
199006,2.31,-1.39
199106,1.71,-1.99
199206,6.88,3.18
199306,2.71,-0.99
199406,3.66,-0.04
199506,1.68,-2.02
199606,2.97,-0.73
199706,1.93,-1.77
199806,7.42,3.72
199906,0.85,-2.85
200006,6.22,2.52
200106,6.40,2.70
200206,5.03,1.33
200306,7.18,3.48
200406,1.99,-1.71
200506,2.39,-1.31
200606,9.21,5.51
200706,3.54,-0.16
200806,4.69,0.99
200906,6.94,3.24
201006,3.36,-0.34
201106,6.15,2.45
201206,4.30,0.60
201306,10.60,6.90
201406,2.41,-1.29
201506,6.35,2.65
201606,1.78,-1.92
201706,3.54,-0.16
201806,3.79,0.09
201906,3.42,-0.28
202006,2.47,-1.23
202106,1.99,-1.71
