Delaware, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,2.78,-0.26
195102,2.87,-0.17
195202,2.45,-0.59
195302,3.01,-0.03
195402,1.44,-1.60
195502,2.92,-0.12
195602,3.41,0.37
195702,3.55,0.51
195802,4.27,1.23
195902,1.81,-1.23
196002,4.06,1.02
196102,5.06,2.02
196202,3.82,0.78
196302,1.95,-1.09
196402,4.52,1.48
196502,1.83,-1.21
196602,3.65,0.61
196702,3.07,0.03
196802,1.15,-1.89
196902,2.62,-0.42
197002,2.42,-0.62
197102,5.69,2.65
197202,5.49,2.45
197302,3.15,0.11
197402,1.84,-1.20
197502,3.05,0.01
197602,1.69,-1.35
197702,1.61,-1.43
197802,1.09,-1.95
197902,6.31,3.27
198002,1.07,-1.97
198102,3.56,0.52
198202,3.20,0.16
198302,3.44,0.40
198402,3.94,0.90
198502,2.64,-0.40
198602,3.19,0.15
198702,1.75,-1.29
198802,4.12,1.08
198902,3.31,0.27
199002,1.94,-1.10
199102,1.23,-1.81
199202,2.99,-0.05
199302,2.66,-0.38
199402,4.96,1.92
199502,2.30,-0.74
199602,2.66,-0.38
199702,2.99,-0.05
199802,5.53,2.49
199902,2.73,-0.31
200002,2.12,-0.92
200102,2.94,-0.10
200202,0.69,-2.35
200302,6.25,3.21
200402,2.21,-0.83
200502,2.12,-0.92
200602,1.53,-1.51
200702,2.49,-0.55
200802,3.66,0.62
200902,0.44,-2.60
201002,3.85,0.81
201102,2.36,-0.68
201202,2.21,-0.83
201302,2.67,-0.37
201402,4.54,1.50
201502,2.32,-0.72
201602,3.79,0.75
201702,1.24,-1.80
201802,4.97,1.93
201902,3.47,0.43
202002,3.30,0.26
202102,5.65,2.61
