Delaware, Precipitation, March
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,4.44,0.46
195103,3.18,-0.80
195203,5.37,1.39
195303,5.27,1.29
195403,3.79,-0.19
195503,3.98,0.00
195603,4.12,0.14
195703,3.38,-0.60
195803,6.56,2.58
195903,3.42,-0.56
196003,1.97,-2.01
196103,4.65,0.67
196203,3.82,-0.16
196303,5.97,1.99
196403,2.94,-1.04
196503,3.63,-0.35
196603,1.52,-2.46
196703,3.02,-0.96
196803,4.76,0.78
196903,3.15,-0.83
197003,4.00,0.02
197103,2.42,-1.56
197203,2.45,-1.53
197303,3.03,-0.95
197403,4.48,0.50
197503,5.57,1.59
197603,2.02,-1.96
197703,2.59,-1.39
197803,5.93,1.95
197903,3.62,-0.36
198003,6.19,2.21
198103,1.77,-2.21
198203,2.97,-1.01
198303,6.69,2.71
198403,6.88,2.90
198503,2.18,-1.80
198603,1.47,-2.51
198703,2.65,-1.33
198803,2.77,-1.21
198903,6.38,2.40
199003,3.30,-0.68
199103,5.47,1.49
199203,3.82,-0.16
199303,6.71,2.73
199403,8.36,4.38
199503,2.30,-1.68
199603,3.60,-0.38
199703,4.90,0.92
199803,5.20,1.22
199903,4.76,0.78
200003,7.01,3.03
200103,5.61,1.63
200203,4.77,0.79
200303,4.13,0.15
200403,2.70,-1.28
200503,4.11,0.13
200603,0.29,-3.69
200703,3.42,-0.56
200803,3.08,-0.90
200903,2.36,-1.62
201003,6.46,2.48
201103,4.05,0.07
201203,1.07,-2.91
201303,3.54,-0.44
201403,3.87,-0.11
201503,4.53,0.55
201603,1.73,-2.25
201703,4.46,0.48
201803,4.09,0.11
201903,3.59,-0.39
202003,3.62,-0.36
202103,4.47,0.49
