Delaware, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,2.83,-0.81
195106,5.12,1.48
195206,2.90,-0.74
195306,2.96,-0.68
195406,1.06,-2.58
195506,6.13,2.49
195606,4.03,0.39
195706,3.56,-0.08
195806,4.39,0.75
195906,2.63,-1.01
196006,2.11,-1.53
196106,4.19,0.55
196206,3.99,0.35
196306,4.12,0.48
196406,1.36,-2.28
196506,2.46,-1.18
196606,3.05,-0.59
196706,3.48,-0.16
196806,3.60,-0.04
196906,3.09,-0.55
197006,5.62,1.98
197106,1.80,-1.84
197206,8.40,4.76
197306,3.74,0.10
197406,4.26,0.62
197506,4.65,1.01
197606,1.79,-1.85
197706,3.42,-0.22
197806,2.48,-1.16
197906,4.73,1.09
198006,3.73,0.09
198106,3.94,0.30
198206,4.68,1.04
198306,4.56,0.92
198406,2.95,-0.69
198506,2.82,-0.82
198606,2.32,-1.32
198706,2.03,-1.61
198806,0.88,-2.76
198906,6.65,3.01
199006,1.97,-1.67
199106,3.40,-0.24
199206,2.77,-0.87
199306,2.62,-1.02
199406,2.55,-1.09
199506,2.58,-1.06
199606,5.89,2.25
199706,2.66,-0.98
199806,3.57,-0.07
199906,2.11,-1.53
200006,4.91,1.27
200106,5.10,1.46
200206,2.92,-0.72
200306,6.40,2.76
200406,3.43,-0.21
200506,4.31,0.67
200606,9.64,6.00
200706,3.20,-0.44
200806,3.40,-0.24
200906,5.60,1.96
201006,2.13,-1.51
201106,1.86,-1.78
201206,2.99,-0.65
201306,9.56,5.92
201406,2.59,-1.05
201506,9.01,5.37
201606,3.72,0.08
201706,2.32,-1.32
201806,3.97,0.33
201906,5.01,1.37
202006,2.51,-1.13
202106,3.21,-0.43
