Delaware, Precipitation, August
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195008,2.31,-2.28
195108,2.64,-1.95
195208,7.24,2.65
195308,5.92,1.33
195408,4.85,0.26
195508,10.34,5.75
195608,2.93,-1.66
195708,2.60,-1.99
195808,9.25,4.66
195908,4.62,0.03
196008,3.62,-0.97
196108,3.29,-1.30
196208,2.21,-2.38
196308,3.02,-1.57
196408,1.46,-3.13
196508,5.18,0.59
196608,1.19,-3.40
196708,12.58,7.99
196808,1.68,-2.91
196908,6.16,1.57
197008,2.67,-1.92
197108,8.14,3.55
197208,2.31,-2.28
197308,5.85,1.26
197408,5.23,0.64
197508,2.97,-1.62
197608,4.22,-0.37
197708,3.75,-0.84
197808,5.81,1.22
197908,6.39,1.80
198008,2.56,-2.03
198108,3.48,-1.11
198208,2.64,-1.95
198308,4.07,-0.52
198408,1.89,-2.70
198508,7.01,2.42
198608,4.51,-0.08
198708,1.63,-2.96
198808,3.72,-0.87
198908,5.34,0.75
199008,5.43,0.84
199108,4.47,-0.12
199208,6.57,1.98
199308,3.91,-0.68
199408,4.94,0.35
199508,1.51,-3.08
199608,4.26,-0.33
199708,4.90,0.31
199808,3.39,-1.20
199908,4.52,-0.07
200008,4.55,-0.04
200108,6.27,1.68
200208,2.88,-1.71
200308,5.17,0.58
200408,6.51,1.92
200508,2.49,-2.10
200608,1.55,-3.04
200708,3.57,-1.02
200808,1.02,-3.57
200908,8.23,3.64
201008,3.38,-1.21
201108,10.04,5.45
201208,5.82,1.23
201308,6.01,1.42
201408,4.37,-0.22
201508,2.81,-1.78
201608,3.03,-1.56
201708,7.91,3.32
201808,4.53,-0.06
201908,3.14,-1.45
202008,8.85,4.26
202108,5.47,0.88
