Florida, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,2.76,0.06
195112,2.59,-0.11
195212,1.43,-1.27
195312,5.98,3.28
195412,1.88,-0.82
195512,1.31,-1.39
195612,0.92,-1.78
195712,2.62,-0.08
195812,3.59,0.89
195912,1.72,-0.98
196012,1.69,-1.01
196112,2.05,-0.65
196212,1.47,-1.23
196312,3.59,0.89
196412,4.32,1.62
196512,2.76,0.06
196612,1.95,-0.75
196712,3.83,1.13
196812,2.02,-0.68
196912,4.39,1.69
197012,1.51,-1.19
197112,3.08,0.38
197212,3.13,0.43
197312,3.99,1.29
197412,2.62,-0.08
197512,2.15,-0.55
197612,3.53,0.83
197712,4.60,1.90
197812,3.91,1.21
197912,2.73,0.03
198012,0.81,-1.89
198112,2.95,0.25
198212,2.94,0.24
198312,5.87,3.17
198412,0.67,-2.03
198512,2.87,0.17
198612,4.41,1.71
198712,1.01,-1.69
198812,1.28,-1.42
198912,3.89,1.19
199012,1.40,-1.30
199112,1.05,-1.65
199212,1.25,-1.45
199312,2.05,-0.65
199412,3.37,0.67
199512,1.61,-1.09
199612,3.04,0.34
199712,7.26,4.56
199812,1.51,-1.19
199912,1.82,-0.88
200012,1.62,-1.08
200112,1.35,-1.35
200212,6.18,3.48
200312,2.25,-0.45
200412,2.40,-0.30
200512,3.24,0.54
200612,3.24,0.54
200712,2.47,-0.23
200812,2.03,-0.67
200912,5.71,3.01
201012,1.11,-1.59
201112,1.75,-0.95
201212,2.71,0.01
201312,2.51,-0.19
201412,2.78,0.08
201512,3.49,0.79
201612,2.72,0.02
201712,1.68,-1.02
201812,7.18,4.48
201912,4.64,1.94
202012,2.33,-0.37
202112,1.75,-0.95
