Florida, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,1.06,-2.09
195102,1.83,-1.32
195202,5.83,2.68
195302,3.27,0.12
195402,2.00,-1.15
195502,2.04,-1.11
195602,2.56,-0.59
195702,3.01,-0.14
195802,3.19,0.04
195902,3.57,0.42
196002,5.06,1.91
196102,3.33,0.18
196202,1.49,-1.66
196302,5.30,2.15
196402,5.40,2.25
196502,4.67,1.52
196602,5.81,2.66
196702,4.28,1.13
196802,2.47,-0.68
196902,3.11,-0.04
197002,4.32,1.17
197102,4.16,1.01
197202,4.19,1.04
197302,3.26,0.11
197402,1.92,-1.23
197502,2.57,-0.58
197602,1.46,-1.69
197702,2.42,-0.73
197802,4.06,0.91
197902,3.06,-0.09
198002,1.87,-1.28
198102,4.61,1.46
198202,3.66,0.51
198302,7.51,4.36
198402,3.84,0.69
198502,1.67,-1.48
198602,3.81,0.66
198702,4.01,0.86
198802,4.03,0.88
198902,1.06,-2.09
199002,3.90,0.75
199102,1.53,-1.62
199202,4.10,0.95
199302,3.23,0.08
199402,2.39,-0.76
199502,2.13,-1.02
199602,1.99,-1.16
199702,2.35,-0.80
199802,8.44,5.29
199902,1.26,-1.89
200002,1.08,-2.07
200102,0.72,-2.43
200202,2.68,-0.47
200302,3.79,0.64
200402,5.25,2.10
200502,2.47,-0.68
200602,4.08,0.93
200702,2.41,-0.74
200802,4.13,0.98
200902,1.32,-1.83
201002,3.70,0.55
201102,1.93,-1.22
201202,2.53,-0.62
201302,4.43,1.28
201402,3.52,0.37
201502,3.23,0.08
201602,3.25,0.10
201702,1.88,-1.27
201802,2.40,-0.75
201902,1.98,-1.17
202002,3.48,0.33
202102,4.10,0.95
