Florida, Precipitation, May
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,3.30,-0.69
195105,2.46,-1.53
195205,3.97,-0.02
195305,1.40,-2.59
195405,4.38,0.39
195505,3.08,-0.91
195605,3.73,-0.26
195705,6.40,2.41
195805,5.31,1.32
195905,6.65,2.66
196005,2.81,-1.18
196105,3.89,-0.10
196205,2.07,-1.92
196305,4.80,0.81
196405,3.13,-0.86
196505,0.88,-3.11
196605,5.88,1.89
196705,2.21,-1.78
196805,6.01,2.02
196905,5.09,1.10
197005,4.49,0.50
197105,3.28,-0.71
197205,5.05,1.06
197305,4.04,0.05
197405,3.96,-0.03
197505,5.58,1.59
197605,8.84,4.85
197705,3.30,-0.69
197805,5.44,1.45
197905,6.85,2.86
198005,4.59,0.60
198105,2.43,-1.56
198205,4.99,1.00
198305,1.95,-2.04
198405,5.12,1.13
198505,2.68,-1.31
198605,2.33,-1.66
198705,4.23,0.24
198805,2.62,-1.37
198905,2.73,-1.26
199005,2.88,-1.11
199105,7.37,3.38
199205,1.86,-2.13
199305,2.52,-1.47
199405,2.70,-1.29
199505,3.38,-0.61
199605,3.86,-0.13
199705,3.53,-0.46
199805,1.79,-2.20
199905,3.80,-0.19
200005,0.91,-3.08
200105,2.35,-1.64
200205,2.36,-1.63
200305,4.25,0.26
200405,1.77,-2.22
200505,3.96,-0.03
200605,2.67,-1.32
200705,1.37,-2.62
200805,1.58,-2.41
200905,8.91,4.92
201005,4.22,0.23
201105,1.61,-2.38
201205,5.29,1.30
201305,4.62,0.63
201405,4.74,0.75
201505,2.39,-1.60
201605,4.62,0.63
201705,3.84,-0.15
201805,9.31,5.32
201905,3.41,-0.58
202005,5.25,1.26
202105,1.54,-2.45
