Georgia, Precipitation, January
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,1.89,-2.50
195101,1.69,-2.70
195201,2.68,-1.71
195301,4.38,-0.01
195401,2.70,-1.69
195501,4.46,0.07
195601,2.32,-2.07
195701,2.83,-1.56
195801,3.42,-0.97
195901,4.37,-0.02
196001,5.57,1.18
196101,3.41,-0.98
196201,5.28,0.89
196301,5.63,1.24
196401,8.46,4.07
196501,2.43,-1.96
196601,6.28,1.89
196701,5.37,0.98
196801,3.33,-1.06
196901,2.36,-2.03
197001,3.19,-1.20
197101,4.25,-0.14
197201,6.86,2.47
197301,5.88,1.49
197401,5.87,1.48
197501,6.17,1.78
197601,4.43,0.04
197701,4.06,-0.33
197801,7.20,2.81
197901,5.91,1.52
198001,4.83,0.44
198101,1.13,-3.26
198201,4.94,0.55
198301,4.41,0.02
198401,4.87,0.48
198501,3.14,-1.25
198601,2.33,-2.06
198701,7.52,3.13
198801,5.23,0.84
198901,2.24,-2.15
199001,5.77,1.38
199101,9.53,5.14
199201,6.13,1.74
199301,6.54,2.15
199401,5.37,0.98
199501,4.50,0.11
199601,5.40,1.01
199701,5.59,1.20
199801,5.98,1.59
199901,5.33,0.94
200001,4.68,0.29
200101,2.83,-1.56
200201,4.11,-0.28
200301,1.77,-2.62
200401,2.85,-1.54
200501,2.22,-2.17
200601,4.10,-0.29
200701,4.24,-0.15
200801,3.40,-0.99
200901,2.65,-1.74
201001,6.05,1.66
201101,3.33,-1.06
201201,3.04,-1.35
201301,3.32,-1.07
201401,3.33,-1.06
201501,3.64,-0.75
201601,3.78,-0.61
201701,7.72,3.33
201801,2.82,-1.57
201901,4.94,0.55
202001,4.94,0.55
202101,4.60,0.21
