Georgia, Precipitation, October
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,4.22,1.49
195110,1.96,-0.77
195210,1.30,-1.43
195310,0.84,-1.89
195410,0.88,-1.85
195510,2.47,-0.26
195610,2.94,0.21
195710,2.97,0.24
195810,1.52,-1.21
195910,7.33,4.60
196010,1.76,-0.97
196110,0.28,-2.45
196210,2.34,-0.39
196310,0.06,-2.67
196410,6.67,3.94
196510,3.06,0.33
196610,3.94,1.21
196710,1.81,-0.92
196810,2.49,-0.24
196910,1.43,-1.30
197010,4.77,2.04
197110,2.73,0.00
197210,2.35,-0.38
197310,1.25,-1.48
197410,0.63,-2.10
197510,3.95,1.22
197610,5.31,2.58
197710,3.07,0.34
197810,0.52,-2.21
197910,1.29,-1.44
198010,3.13,0.40
198110,3.03,0.30
198210,2.59,-0.14
198310,1.88,-0.85
198410,1.92,-0.81
198510,4.77,2.04
198610,3.71,0.98
198710,0.26,-2.47
198810,2.63,-0.10
198910,3.78,1.05
199010,6.08,3.35
199110,0.83,-1.90
199210,3.47,0.74
199310,4.31,1.58
199410,8.05,5.32
199510,5.05,2.32
199610,3.30,0.57
199710,5.70,2.97
199810,1.40,-1.33
199910,2.80,0.07
200010,0.48,-2.25
200110,0.86,-1.87
200210,4.43,1.70
200310,2.99,0.26
200410,1.85,-0.88
200510,3.31,0.58
200610,3.01,0.28
200710,2.72,-0.01
200810,4.44,1.71
200910,5.75,3.02
201010,1.48,-1.25
201110,2.59,-0.14
201210,1.91,-0.82
201310,0.94,-1.79
201410,2.78,0.05
201510,3.23,0.50
201610,1.39,-1.34
201710,3.54,0.81
201810,3.83,1.10
201910,5.49,2.76
202010,3.45,0.72
202110,4.41,1.68
