Georgia, Precipitation, November
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195011,1.02,-1.85
195111,4.13,1.26
195211,2.00,-0.87
195311,1.53,-1.34
195411,3.05,0.18
195511,2.18,-0.69
195611,1.04,-1.83
195711,6.65,3.78
195811,1.46,-1.41
195911,1.52,-1.35
196011,0.98,-1.89
196111,2.16,-0.71
196211,4.15,1.28
196311,3.44,0.57
196411,2.29,-0.58
196511,1.96,-0.91
196611,2.56,-0.31
196711,3.37,0.50
196811,4.06,1.19
196911,2.24,-0.63
197011,1.40,-1.47
197111,2.94,0.07
197211,3.90,1.03
197311,2.25,-0.62
197411,2.38,-0.49
197511,2.39,-0.48
197611,4.99,2.12
197711,4.71,1.84
197811,2.86,-0.01
197911,4.00,1.13
198011,1.98,-0.89
198111,1.73,-1.14
198211,3.70,0.83
198311,6.42,3.55
198411,2.28,-0.59
198511,5.21,2.34
198611,6.16,3.29
198711,2.92,0.05
198811,3.05,0.18
198911,3.22,0.35
199011,1.75,-1.12
199111,1.74,-1.13
199211,7.83,4.96
199311,3.70,0.83
199411,3.22,0.35
199511,3.98,1.11
199611,2.46,-0.41
199711,5.63,2.76
199811,1.68,-1.19
199911,2.26,-0.61
200011,4.30,1.43
200111,1.37,-1.50
200211,4.88,2.01
200311,2.82,-0.05
200411,4.65,1.78
200511,2.92,0.05
200611,3.01,0.14
200711,1.32,-1.55
200811,3.59,0.72
200911,3.94,1.07
201011,2.08,-0.79
201111,2.83,-0.04
201211,1.07,-1.80
201311,3.23,0.36
201411,4.36,1.49
201511,6.28,3.41
201611,0.95,-1.92
201711,1.00,-1.87
201811,6.24,3.37
201911,3.18,0.31
202011,2.99,0.12
202111,1.11,-1.76
