Georgia, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,2.22,-2.29
195102,2.04,-2.47
195202,4.78,0.27
195302,6.18,1.67
195402,1.95,-2.56
195502,3.45,-1.06
195602,6.43,1.92
195702,2.97,-1.54
195802,4.57,0.06
195902,6.04,1.53
196002,6.15,1.64
196102,7.17,2.66
196202,4.12,-0.39
196302,4.03,-0.48
196402,6.36,1.85
196502,6.13,1.62
196602,6.89,2.38
196702,4.06,-0.45
196802,1.54,-2.97
196902,3.62,-0.89
197002,3.49,-1.02
197102,5.50,0.99
197202,4.69,0.18
197302,4.94,0.43
197402,5.45,0.94
197502,6.06,1.55
197602,1.62,-2.89
197702,2.40,-2.11
197802,1.94,-2.57
197902,6.80,2.29
198002,2.36,-2.15
198102,5.73,1.22
198202,5.81,1.30
198302,5.76,1.25
198402,4.55,0.04
198502,5.04,0.53
198602,4.71,0.20
198702,5.75,1.24
198802,4.14,-0.37
198902,3.29,-1.22
199002,5.44,0.93
199102,2.20,-2.31
199202,5.31,0.80
199302,3.80,-0.71
199402,3.56,-0.95
199502,6.09,1.58
199602,3.19,-1.32
199702,5.66,1.15
199802,7.61,3.10
199902,2.98,-1.53
200002,1.80,-2.71
200102,2.02,-2.49
200202,2.33,-2.18
200302,5.31,0.80
200402,5.34,0.83
200502,4.31,-0.20
200602,4.35,-0.16
200702,2.74,-1.77
200802,5.67,1.16
200902,2.29,-2.22
201002,3.57,-0.94
201102,3.70,-0.81
201202,2.92,-1.59
201302,9.62,5.11
201402,4.06,-0.45
201502,4.49,-0.02
201602,4.87,0.36
201702,2.09,-2.42
201802,4.29,-0.22
201902,3.26,-1.25
202002,8.81,4.30
202102,5.67,1.16
