Georgia, Precipitation, May
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,4.08,0.37
195105,1.55,-2.16
195205,4.60,0.89
195305,4.33,0.62
195405,2.84,-0.87
195505,4.25,0.54
195605,3.12,-0.59
195705,6.39,2.68
195805,2.99,-0.72
195905,6.56,2.85
196005,2.06,-1.65
196105,4.21,0.50
196205,1.32,-2.39
196305,4.07,0.36
196405,3.47,-0.24
196505,1.41,-2.30
196605,7.24,3.53
196705,4.63,0.92
196805,4.57,0.86
196905,5.63,1.92
197005,4.79,1.08
197105,3.79,0.08
197205,4.54,0.83
197305,5.70,1.99
197405,4.36,0.65
197505,5.47,1.76
197605,9.17,5.46
197705,2.08,-1.63
197805,5.24,1.53
197905,4.70,0.99
198005,4.66,0.95
198105,2.70,-1.01
198205,3.06,-0.65
198305,2.51,-1.20
198405,5.23,1.52
198505,3.93,0.22
198605,2.57,-1.14
198705,2.78,-0.93
198805,1.78,-1.93
198905,3.78,0.07
199005,3.13,-0.58
199105,6.01,2.30
199205,2.17,-1.54
199305,2.29,-1.42
199405,2.21,-1.50
199505,2.45,-1.26
199605,2.65,-1.06
199705,3.30,-0.41
199805,2.72,-0.99
199905,2.81,-0.90
200005,1.00,-2.71
200105,2.70,-1.01
200205,3.15,-0.56
200305,6.33,2.62
200405,3.00,-0.71
200505,3.03,-0.68
200605,2.66,-1.05
200705,0.59,-3.12
200805,2.61,-1.10
200905,6.39,2.68
201005,5.15,1.44
201105,1.15,-2.56
201205,3.99,0.28
201305,3.78,0.07
201405,3.87,0.16
201505,2.17,-1.54
201605,2.78,-0.93
201705,5.60,1.89
201805,6.67,2.96
201905,2.30,-1.41
202005,3.18,-0.53
202105,2.83,-0.88
