Georgia, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,3.24,-1.25
195106,4.55,0.06
195206,2.96,-1.53
195306,4.44,-0.05
195406,2.57,-1.92
195506,3.00,-1.49
195606,3.84,-0.65
195706,5.14,0.65
195806,4.78,0.29
195906,3.60,-0.89
196006,3.86,-0.63
196106,4.96,0.47
196206,5.58,1.09
196306,7.66,3.17
196406,3.62,-0.87
196506,6.88,2.39
196606,3.75,-0.74
196706,5.44,0.95
196806,3.33,-1.16
196906,3.55,-0.94
197006,3.55,-0.94
197106,4.33,-0.16
197206,6.97,2.48
197306,6.26,1.77
197406,4.29,-0.20
197506,4.72,0.23
197606,5.03,0.54
197706,2.70,-1.79
197806,3.15,-1.34
197906,3.06,-1.43
198006,3.54,-0.95
198106,3.76,-0.73
198206,4.95,0.46
198306,4.74,0.25
198406,2.96,-1.53
198506,3.92,-0.57
198606,2.70,-1.79
198706,6.03,1.54
198806,1.92,-2.57
198906,8.68,4.19
199006,1.68,-2.81
199106,5.55,1.06
199206,5.96,1.47
199306,3.25,-1.24
199406,7.64,3.15
199506,6.16,1.67
199606,3.15,-1.34
199706,4.84,0.35
199806,2.66,-1.83
199906,6.14,1.65
200006,3.89,-0.60
200106,7.38,2.89
200206,3.51,-0.98
200306,7.22,2.73
200406,7.32,2.83
200506,7.62,3.13
200606,3.58,-0.91
200706,4.49,0.00
200806,2.52,-1.97
200906,2.81,-1.68
201006,4.27,-0.22
201106,3.63,-0.86
201206,4.73,0.24
201306,7.56,3.07
201406,3.64,-0.85
201506,4.25,-0.24
201606,4.02,-0.47
201706,6.36,1.87
201806,5.06,0.57
201906,5.95,1.46
202006,3.75,-0.74
202106,6.17,1.68
