,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,1950,44.1,35.1,38.8,48.9,61.2,70.0,73.2,72.0,64.0,57.4,44.6,32.0,Maryland
1,1951,35.7,35.6,42.1,51.9,61.8,70.4,75.4,73.0,67.0,58.5,40.8,37.2,Maryland
2,1952,37.3,37.3,40.8,53.9,61.0,73.6,77.5,73.5,66.2,52.3,45.4,36.3,Maryland
3,1953,38.1,38.9,43.9,52.4,66.4,71.4,76.1,73.2,66.9,57.3,44.8,38.5,Maryland
4,1954,32.9,40.1,42.1,56.5,59.8,71.3,75.1,72.7,69.0,59.1,42.5,34.5,Maryland
5,1955,31.4,34.2,44.6,55.6,64.3,67.2,79.1,76.3,66.8,57.0,42.4,30.4,Maryland
6,1956,31.1,37.8,40.2,50.2,60.8,70.7,73.8,72.5,64.5,56.9,44.8,42.8,Maryland
7,1957,29.8,38.0,42.1,55.7,63.8,73.4,75.0,71.9,68.5,52.1,46.0,38.4,Maryland
8,1958,30.6,28.0,38.2,53.0,61.4,67.7,76.4,72.4,65.6,55.4,46.7,28.6,Maryland
9,1959,31.1,34.9,42.0,55.0,65.9,71.8,75.5,76.2,69.3,58.9,43.8,38.3,Maryland
10,1960,34.8,35.0,31.6,57.1,60.5,70.3,72.9,75.1,67.5,55.4,46.0,28.2,Maryland
11,1961,26.6,35.8,44.3,48.6,59.0,69.8,75.2,73.6,71.7,56.8,47.1,33.7,Maryland
12,1962,31.9,32.0,40.2,52.6,65.3,70.8,71.9,72.7,63.6,56.8,41.8,30.2,Maryland
13,1963,28.9,27.4,45.1,53.2,60.9,70.2,74.5,71.8,63.2,58.1,47.5,28.6,Maryland
14,1964,33.5,32.3,43.8,50.7,63.8,71.3,75.1,71.2,66.3,52.1,47.6,37.8,Maryland
15,1965,30.7,34.2,39.0,49.7,66.2,69.2,73.9,72.9,68.8,53.4,45.2,38.3,Maryland
16,1966,29.0,32.7,43.6,48.4,60.8,71.0,76.6,74.3,64.5,53.3,45.7,34.4,Maryland
17,1967,37.3,30.4,41.0,53.2,56.4,70.5,73.5,71.7,63.6,54.1,40.6,36.7,Maryland
18,1968,27.7,29.7,45.1,53.2,59.2,70.6,75.3,75.6,67.0,57.4,46.3,33.1,Maryland
19,1969,30.1,32.5,38.7,54.5,63.0,72.5,75.4,72.8,66.3,54.8,43.2,32.3,Maryland
20,1970,25.8,33.2,38.2,51.7,64.5,70.6,74.6,74.2,70.4,58.8,46.0,36.0,Maryland
21,1971,28.0,35.0,39.9,50.5,59.7,71.9,73.8,72.1,69.2,61.4,44.5,42.5,Maryland
22,1972,35.3,32.2,41.3,50.3,61.5,67.0,74.6,72.5,67.5,52.1,42.5,40.4,Maryland
23,1973,34.2,32.8,47.4,52.2,59.7,73.0,75.2,75.1,68.9,57.9,47.1,37.3,Maryland
24,1974,38.2,33.8,44.7,54.8,61.6,67.6,74.3,73.4,65.6,52.8,45.7,38.0,Maryland
25,1975,36.5,36.1,40.8,47.8,64.5,71.0,73.9,75.2,64.3,58.9,49.9,36.2,Maryland
26,1976,29.4,42.2,46.7,54.9,60.6,72.4,73.1,71.5,65.4,51.3,39.2,31.1,Maryland
27,1977,21.1,34.1,48.0,55.4,64.6,68.4,76.4,75.0,69.4,53.8,47.0,33.8,Maryland
28,1978,27.4,24.4,39.2,51.8,60.4,70.4,73.1,76.1,67.6,54.2,46.9,38.0,Maryland
29,1979,30.8,23.3,45.6,51.4,62.9,67.6,73.2,73.3,66.8,54.4,49.2,38.4,Maryland
30,1980,32.3,29.9,40.1,53.6,64.0,68.7,76.4,76.3,70.4,54.0,42.5,34.3,Maryland
31,1981,26.6,37.4,40.5,56.0,60.9,72.5,74.9,71.5,65.5,52.8,45.0,33.5,Maryland
32,1982,25.4,34.6,42.0,50.0,64.6,68.5,75.3,70.8,65.9,55.9,48.0,42.0,Maryland
33,1983,33.5,34.4,44.6,50.3,60.6,70.7,76.5,75.9,67.7,56.6,46.4,32.7,Maryland
34,1984,27.8,39.7,37.5,50.8,61.4,72.2,73.2,74.2,64.4,61.6,43.4,43.6,Maryland
35,1985,27.9,34.8,45.2,56.7,64.3,69.2,74.8,73.1,67.8,58.6,51.7,33.1,Maryland
36,1986,32.4,32.6,44.0,53.1,64.8,72.4,77.4,71.9,67.5,57.8,44.0,37.0,Maryland
37,1987,31.3,32.7,44.5,51.6,64.0,73.4,78.4,74.8,68.3,51.2,47.6,38.5,Maryland
38,1988,27.8,34.8,43.8,51.1,62.5,71.2,78.0,77.0,65.3,50.7,46.2,35.6,Maryland
39,1989,37.0,35.0,42.8,51.2,60.9,73.2,75.0,73.2,67.6,57.2,44.8,24.6,Maryland
40,1990,40.6,41.9,46.8,53.5,61.0,71.3,76.1,73.1,65.8,59.6,48.4,41.2,Maryland
41,1991,34.6,39.6,45.6,54.9,68.8,72.4,77.5,75.7,66.9,56.9,45.5,39.5,Maryland
42,1992,35.2,37.5,41.4,52.2,59.2,68.0,75.4,70.7,66.4,53.1,45.9,36.8,Maryland
43,1993,36.9,31.4,39.2,51.9,64.0,71.0,78.3,75.3,67.7,54.7,45.6,34.6,Maryland
44,1994,26.0,32.8,41.7,57.9,59.3,74.3,77.4,71.6,65.6,54.6,50.1,41.0,Maryland
45,1995,36.6,31.7,45.7,52.8,61.9,71.2,77.6,76.4,66.9,59.0,40.9,32.0,Maryland
46,1996,30.6,34.1,38.7,53.4,60.4,72.4,73.5,72.6,67.2,56.0,40.4,39.6,Maryland
47,1997,33.3,40.0,44.9,50.4,59.1,69.3,75.7,72.7,66.3,55.9,43.2,37.7,Maryland
48,1998,40.3,40.5,44.9,55.1,65.3,70.6,75.4,75.1,71.5,57.0,46.7,41.7,Maryland
49,1999,36.1,37.5,41.0,53.5,63.2,71.3,78.9,75.0,67.4,54.8,50.7,39.1,Maryland
50,2000,32.5,38.7,48.4,52.7,64.9,72.4,72.0,72.6,65.7,57.2,43.3,29.2,Maryland
51,2001,32.2,38.0,40.4,54.5,62.6,72.4,72.3,76.0,65.6,56.5,50.8,42.6,Maryland
52,2002,39.0,39.8,45.4,56.6,62.0,73.0,77.6,77.2,69.4,56.3,44.7,34.3,Maryland
53,2003,28.6,31.0,44.4,52.6,59.7,69.5,75.5,76.1,67.8,54.7,50.6,36.5,Maryland
54,2004,28.1,34.5,45.6,54.3,69.3,70.8,75.5,73.5,68.7,55.7,48.3,37.7,Maryland
55,2005,33.9,36.5,39.7,54.7,58.7,72.8,77.6,77.0,71.1,57.8,48.5,33.7,Maryland
56,2006,41.1,36.1,44.3,56.3,62.1,71.6,77.6,76.9,65.3,55.0,49.1,42.8,Maryland
57,2007,38.5,28.3,44.9,51.1,64.6,72.6,75.4,76.3,69.6,63.3,45.6,38.1,Maryland
58,2008,35.7,37.2,44.8,55.6,60.4,74.3,76.2,72.6,68.8,55.2,44.4,38.6,Maryland
59,2009,29.3,37.2,43.1,54.8,63.4,71.0,73.5,76.2,66.4,55.4,49.6,35.4,Maryland
60,2010,32.2,30.8,47.4,57.5,65.7,76.2,79.1,76.4,70.2,57.8,46.1,30.8,Maryland
61,2011,29.6,37.6,43.7,56.7,65.8,74.0,79.6,75.1,69.0,55.9,49.5,41.8,Maryland
62,2012,37.4,40.5,52.7,54.2,67.7,71.7,79.8,75.8,67.8,57.5,42.6,42.2,Maryland
63,2013,36.3,34.5,39.7,54.4,62.8,72.7,77.8,72.4,66.0,58.1,43.3,38.6,Maryland
64,2014,27.8,32.8,38.2,52.7,64.2,72.3,74.7,71.7,68.0,58.2,42.7,39.6,Maryland
65,2015,30.7,25.3,39.4,54.0,67.6,73.0,75.9,73.9,70.8,55.6,50.5,48.6,Maryland
66,2016,32.1,36.9,49.4,53.1,60.9,72.2,78.4,78.0,71.5,59.4,47.7,38.0,Maryland
67,2017,38.3,43.7,43.1,59.5,62.2,72.6,77.4,72.8,68.3,61.2,45.8,35.3,Maryland
68,2018,31.0,41.6,39.3,50.7,68.8,72.1,76.2,77.1,72.7,59.0,43.4,39.2,Maryland
69,2019,34.0,37.6,42.1,57.8,67.3,72.5,78.6,75.6,71.4,60.3,42.6,38.9,Maryland
70,2020,39.1,41.0,49.3,51.6,60.5,72.7,80.1,76.6,67.3,59.0,50.9,38.3,Maryland
71,2021,35.4,34.2,47.2,54.9,62.2,73.1,77.2,77.1,69.6,62.9,44.4,43.7,Maryland
