date,January,February,March,April,May,June,July,August,September,October,November,December
1950,57.9,53.3,53.1,60.1,74.0,78.0,78.6,77.9,72.9,67.1,49.8,42.1
1951,47.0,49.2,56.6,61.4,71.6,78.8,81.7,83.7,76.1,66.2,49.1,50.9
1952,53.3,52.5,53.8,61.0,71.7,82.4,82.8,81.8,73.1,57.4,52.0,46.4
1953,49.7,49.4,59.8,61.6,73.7,83.0,80.7,79.6,74.7,66.0,52.6,44.3
1954,47.2,53.6,54.7,68.1,66.8,80.2,83.5,84.2,78.1,66.1,52.3,46.2
1955,44.4,48.8,59.0,67.0,74.3,74.7,80.6,80.2,77.4,63.3,52.6,46.9
1956,42.8,53.3,54.8,62.3,74.4,76.7,81.5,80.8,73.3,66.1,52.4,54.1
1957,47.4,55.9,53.5,65.4,72.4,78.7,80.7,79.4,73.1,60.4,54.7,49.4
1958,40.4,39.6,50.3,63.6,71.6,78.2,80.3,79.3,75.9,63.1,55.7,42.6
1959,42.5,49.4,53.4,62.7,73.8,77.1,80.0,80.5,75.4,66.7,50.6,47.2
1960,43.9,43.0,45.8,65.2,68.9,78.6,82.3,80.0,75.2,65.7,53.8,42.6
1961,39.4,51.7,58.4,60.0,69.3,74.8,78.4,78.0,74.6,62.6,53.9,46.9
1962,41.2,55.7,50.9,61.4,75.0,77.5,82.4,81.3,75.6,66.9,51.8,44.1
1963,38.6,41.7,59.1,67.2,72.9,79.0,79.8,80.5,74.0,67.7,54.6,37.0
1964,42.8,43.2,54.7,66.3,72.6,78.9,79.9,79.7,75.0,60.4,57.0,48.0
1965,47.2,45.9,49.6,67.7,73.3,77.3,81.0,79.4,75.4,62.6,58.8,48.0
1966,39.7,46.3,54.2,64.1,70.6,75.9,82.3,78.0,73.3,60.7,55.8,46.0
1967,45.2,44.0,59.3,68.7,69.5,77.9,77.3,76.1,69.8,61.5,51.7,49.7
1968,42.3,40.3,52.0,64.6,70.0,78.4,79.4,79.9,71.5,64.2,51.5,43.8
1969,44.8,46.6,48.0,64.4,70.7,78.5,82.6,78.4,73.0,64.4,51.3,44.9
1970,38.9,44.6,52.4,66.5,71.6,76.9,79.2,79.9,77.9,62.8,50.2,50.2
1971,45.4,46.6,51.0,62.1,67.3,79.1,79.5,78.3,75.7,68.3,52.6,54.7
1972,48.6,48.0,56.2,64.4,70.2,77.1,78.5,80.2,78.5,64.2,49.8,46.7
1973,42.6,45.2,60.0,60.9,68.9,78.6,81.2,78.1,76.3,68.1,58.9,46.0
1974,51.5,48.1,61.0,62.4,73.0,74.3,80.0,78.6,70.4,61.5,53.6,47.2
1975,49.1,50.6,54.1,61.6,72.6,77.1,79.9,79.2,70.8,64.4,54.5,45.6
1976,41.8,54.3,58.6,63.6,66.0,75.2,79.4,78.3,73.0,58.1,45.8,42.8
1977,33.5,46.7,58.0,65.1,73.4,80.5,81.8,80.4,77.1,61.4,56.0,45.7
1978,35.4,38.0,51.3,64.8,71.1,78.6,81.9,80.2,76.8,62.6,59.1,46.7
1979,36.8,43.2,56.0,64.4,69.7,76.5,80.4,79.2,72.8,64.0,51.0,45.5
1980,46.7,43.2,52.4,60.8,71.1,78.7,84.0,82.4,79.0,60.9,52.0,45.5
1981,40.5,47.6,53.4,68.8,68.6,80.3,82.1,80.4,72.0,63.1,56.2,44.1
1982,43.9,46.2,58.8,61.4,72.8,77.4,80.9,79.9,72.6,63.6,55.2,52.4
1983,42.7,47.1,52.6,58.2,69.3,75.3,81.1,81.9,72.9,64.7,54.1,40.4
1984,38.9,49.1,54.5,62.1,69.8,77.8,79.1,78.0,72.9,69.2,52.6,56.1
1985,36.9,44.3,59.9,64.7,71.4,78.5,79.6,79.3,73.5,67.6,60.8,41.9
1986,44.2,52.2,55.7,64.0,72.2,79.5,82.9,79.1,77.6,64.5,57.3,45.5
1987,42.9,49.4,55.6,61.1,74.5,77.7,80.6,81.8,74.1,58.7,55.6,50.2
1988,40.1,45.9,54.4,63.8,69.5,77.7,80.2,81.0,75.5,60.1,57.2,47.1
1989,50.7,46.5,56.6,61.9,69.9,76.6,79.0,79.0,72.7,62.9,55.5,37.9
1990,50.0,54.9,57.7,62.2,70.0,79.0,80.1,80.6,77.0,62.5,56.9,50.2
1991,44.6,50.4,57.3,66.1,73.8,78.4,81.3,79.2,74.4,65.2,50.4,50.7
1992,44.3,52.1,55.8,62.6,69.4,76.1,80.6,76.2,73.6,63.3,51.8,47.9
1993,47.7,47.0,52.4,59.1,69.3,78.3,82.3,81.4,74.3,63.0,51.6,46.1
1994,41.2,49.4,55.8,65.6,69.4,79.0,78.6,78.1,72.8,64.7,58.3,49.6
1995,46.2,48.3,58.2,64.0,72.7,76.0,81.3,82.6,74.0,63.8,50.5,45.7
1996,44.4,48.2,51.0,60.8,74.4,77.6,80.5,78.5,72.9,64.0,53.8,50.1
1997,45.0,50.9,60.4,59.2,68.9,76.0,81.3,78.6,75.6,63.7,50.4,44.9
1998,48.7,49.9,54.9,62.2,74.1,81.6,82.9,81.4,78.8,67.6,58.0,50.1
1999,49.8,53.3,53.6,68.0,71.1,78.4,81.6,82.5,73.7,63.9,56.7,47.6
2000,47.3,53.2,59.8,61.3,74.4,78.1,82.2,83.2,75.4,65.2,52.1,38.4
2001,40.9,52.5,51.7,66.8,71.7,76.6,81.0,79.7,73.0,61.1,58.6,50.8
2002,47.5,46.0,54.9,66.7,70.9,77.8,81.1,80.1,77.6,67.0,51.6,46.6
2003,40.5,46.7,56.4,64.3,73.0,76.6,79.7,80.6,73.4,64.5,58.6,44.9
2004,45.3,45.4,59.6,62.3,72.6,77.4,79.5,76.8,74.7,70.2,58.8,45.5
2005,50.1,51.6,53.8,62.8,69.4,77.7,81.0,82.0,77.9,64.1,56.7,44.2
2006,51.5,46.0,57.1,68.4,71.6,78.6,82.0,83.0,73.0,63.4,53.5,49.0
2007,46.2,46.0,61.3,61.0,72.2,79.2,79.1,84.2,76.7,66.5,55.1,51.9
2008,43.5,50.1,56.3,63.0,71.1,79.2,81.2,78.5,74.1,62.6,52.0,48.3
2009,45.1,50.6,57.6,62.8,71.8,80.2,79.4,78.7,75.8,62.6,54.7,44.3
2010,40.6,40.7,52.3,65.1,74.4,82.2,82.7,83.8,77.0,65.0,55.7,42.3
2011,42.2,49.8,57.8,67.0,70.6,82.2,82.9,83.0,72.5,61.3,56.1,48.0
2012,50.8,52.2,65.4,65.8,74.3,78.2,81.9,79.5,74.4,62.1,52.0,51.6
2013,49.1,49.0,50.4,62.1,68.9,78.9,78.8,79.6,77.0,65.4,51.1,46.7
2014,38.5,46.3,51.6,62.7,70.8,78.6,77.5,79.8,76.5,66.5,48.8,50.2
2015,43.8,41.9,57.7,67.0,72.3,79.2,82.8,80.1,76.3,66.5,59.2,56.7
2016,43.7,50.9,60.2,65.2,70.5,80.2,82.4,82.0,79.0,69.2,58.2,49.4
2017,52.9,57.1,60.1,67.3,70.1,76.7,81.2,79.3,74.5,66.2,56.8,47.1
2018,40.1,56.9,57.1,58.9,75.8,80.6,81.8,80.3,78.9,67.4,50.5,49.0
2019,46.3,55.0,54.7,63.1,74.3,78.3,80.8,81.4,81.2,66.6,50.3,50.7
2020,50.1,51.1,64.1,62.9,70.3,78.1,82.1,80.2,75.3,65.8,58.4,47.0
2021,46.8,44.3,60.0,62.1,70.0,78.2,80.6,80.9,74.9,68.5,53.0,58.8
