,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,1950,39.7,30.3,35.3,46.4,57.8,67.6,72.1,70.2,61.7,56.3,44.5,30.9,New_Jersey
1,1951,33.2,33.5,39.8,50.2,60.4,67.7,73.5,71.3,64.7,56.2,39.7,35.4,New_Jersey
2,1952,33.9,34.0,38.0,52.1,58.3,70.9,76.3,71.7,65.1,50.8,43.6,35.3,New_Jersey
3,1953,34.9,36.0,41.4,49.9,62.2,69.6,74.0,71.6,66.1,55.8,43.8,37.2,New_Jersey
4,1954,28.6,37.7,39.7,52.3,57.6,69.2,73.3,70.6,65.1,57.8,41.6,33.0,New_Jersey
5,1955,28.3,31.6,40.4,52.2,62.6,66.6,78.4,75.5,64.6,56.2,41.3,27.3,New_Jersey
6,1956,29.4,34.5,35.9,46.4,57.3,69.4,71.1,71.2,62.6,54.7,43.8,39.1,New_Jersey
7,1957,26.3,34.9,39.5,51.9,60.7,72.0,73.8,69.9,66.7,52.1,45.2,36.9,New_Jersey
8,1958,28.9,25.3,37.6,51.0,57.7,65.2,74.9,71.6,64.2,52.9,44.7,26.4,New_Jersey
9,1959,29.0,30.4,38.6,51.6,63.3,69.6,73.8,74.2,68.1,57.5,43.0,35.5,New_Jersey
10,1960,32.0,34.2,30.6,53.6,59.4,68.8,71.6,72.5,65.1,53.5,45.0,26.5,New_Jersey
11,1961,23.3,32.6,40.0,46.5,57.3,68.6,73.8,72.3,70.8,55.9,45.0,31.8,New_Jersey
12,1962,29.3,28.8,38.6,50.2,61.5,69.4,70.6,70.2,61.4,54.2,40.0,28.6,New_Jersey
13,1963,26.6,25.0,41.1,50.1,58.4,68.6,73.6,69.8,61.0,57.2,47.2,27.0,New_Jersey
14,1964,31.0,29.3,40.8,47.6,62.1,68.5,74.0,69.6,65.3,51.3,45.5,34.3,New_Jersey
15,1965,26.4,30.8,36.8,46.9,64.0,67.8,72.1,71.5,66.5,51.8,42.6,35.4,New_Jersey
16,1966,27.9,30.3,40.5,45.9,57.2,69.9,75.3,73.0,63.2,52.1,45.0,33.4,New_Jersey
17,1967,34.3,27.4,36.2,49.1,53.3,69.8,72.9,71.0,62.7,53.0,39.3,34.9,New_Jersey
18,1968,25.0,27.2,41.6,51.6,57.2,68.2,74.3,73.4,66.4,56.1,43.9,30.9,New_Jersey
19,1969,28.1,30.0,36.8,52.1,60.8,70.1,72.4,73.0,65.2,53.2,42.4,30.9,New_Jersey
20,1970,22.4,30.9,36.0,48.8,61.2,68.1,73.7,73.5,67.8,56.1,45.4,33.1,New_Jersey
21,1971,25.3,32.1,37.8,47.7,57.2,70.0,72.9,71.3,67.9,59.8,42.6,38.9,New_Jersey
22,1972,32.4,29.1,37.8,46.7,59.7,65.7,74.3,71.6,65.9,49.7,41.2,37.5,New_Jersey
23,1973,32.6,30.5,44.7,51.0,57.3,71.5,74.5,74.4,66.5,56.1,45.3,36.6,New_Jersey
24,1974,33.5,29.9,41.0,52.5,59.2,66.6,73.6,72.6,64.4,50.5,44.7,36.6,New_Jersey
25,1975,34.5,33.5,38.3,45.3,63.1,69.1,73.5,73.0,62.2,57.6,48.9,34.4,New_Jersey
26,1976,26.0,37.7,43.2,52.8,59.0,71.4,71.8,71.3,63.7,50.0,38.3,28.0,New_Jersey
27,1977,19.4,31.5,45.0,52.2,62.3,67.0,74.6,72.8,66.6,52.4,45.9,32.1,New_Jersey
28,1978,26.5,22.5,36.4,48.8,57.8,68.4,71.6,74.0,63.4,52.7,45.2,35.5,New_Jersey
29,1979,30.4,21.2,43.4,49.2,61.5,66.0,72.9,72.3,65.2,53.1,47.9,36.4,New_Jersey
30,1980,30.5,28.0,37.8,51.6,62.4,67.0,75.3,75.6,68.2,52.4,40.8,30.0,New_Jersey
31,1981,23.0,36.1,38.2,53.0,60.6,69.9,74.9,71.0,64.4,50.8,43.6,32.3,New_Jersey
32,1982,22.2,32.6,38.9,47.7,61.6,66.0,73.7,69.5,64.4,54.1,46.6,39.7,New_Jersey
33,1983,31.5,32.6,42.1,49.3,58.6,69.4,75.7,74.4,66.7,54.5,44.9,31.8,New_Jersey
34,1984,25.3,37.6,34.5,48.7,59.1,71.1,72.4,73.4,62.6,58.7,43.1,40.2,New_Jersey
35,1985,25.4,33.1,42.5,52.9,62.7,66.5,73.4,71.7,66.7,56.0,48.3,30.8,New_Jersey
36,1986,30.7,29.6,41.6,50.3,63.1,69.2,74.2,70.4,64.5,55.4,42.4,35.9,New_Jersey
37,1987,29.3,30.0,42.2,50.4,61.0,71.1,75.9,71.2,65.4,49.9,45.5,36.7,New_Jersey
38,1988,25.0,32.3,41.3,48.5,60.1,68.8,76.5,75.4,63.4,49.3,45.3,33.0,New_Jersey
39,1989,34.3,32.4,39.7,48.6,59.4,71.2,73.0,71.8,66.0,55.4,43.1,22.7,New_Jersey
40,1990,38.0,38.3,43.3,50.4,58.5,69.2,74.4,72.6,63.9,58.7,46.6,39.5,New_Jersey
41,1991,31.6,37.3,43.0,52.4,66.0,70.9,75.0,74.2,64.8,55.1,44.9,37.5,New_Jersey
42,1992,32.8,34.6,38.0,48.3,57.7,66.7,72.5,69.4,64.8,50.8,43.9,35.0,New_Jersey
43,1993,35.1,28.4,36.6,50.3,61.9,69.3,76.3,73.6,65.1,52.4,43.9,33.8,New_Jersey
44,1994,23.7,28.4,38.7,53.7,58.3,72.2,76.8,70.1,64.2,52.7,48.6,38.9,New_Jersey
45,1995,35.6,28.8,43.3,49.4,59.0,69.4,76.1,74.3,65.5,57.8,40.5,29.8,New_Jersey
46,1996,28.8,32.0,36.5,50.5,58.3,70.1,71.7,71.9,66.2,54.1,39.8,38.4,New_Jersey
47,1997,30.3,38.0,41.2,48.4,57.1,67.8,74.0,71.0,64.4,54.2,42.1,36.1,New_Jersey
48,1998,38.8,39.1,43.2,52.4,63.3,68.5,74.4,74.1,68.2,55.2,44.7,40.0,New_Jersey
49,1999,33.1,35.4,40.0,50.8,60.5,70.6,78.4,73.8,67.2,53.0,48.6,37.6,New_Jersey
50,2000,30.0,35.3,45.6,49.8,62.0,70.3,71.0,71.0,64.4,54.9,43.0,29.0,New_Jersey
