,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,1950,22.5,32.7,36.2,42.3,48.9,56.6,65.0,65.2,57.8,49.0,40.1,38.6,Oregon
1,1951,29.8,34.5,34.4,46.3,51.0,57.8,65.6,63.2,59.1,46.2,36.9,28.6,Oregon
2,1952,26.8,31.7,34.3,46.3,51.5,55.3,65.6,64.0,60.4,52.6,32.6,32.0,Oregon
3,1953,39.0,35.8,38.0,42.5,46.8,52.3,64.4,62.9,60.4,48.7,41.9,34.7,Oregon
4,1954,32.7,37.8,35.5,44.4,52.5,53.6,63.6,59.9,55.7,46.4,41.8,30.9,Oregon
5,1955,28.4,30.4,34.0,38.4,47.9,57.8,61.4,63.9,56.9,48.6,34.6,33.0,Oregon
6,1956,32.1,28.0,37.2,45.2,52.8,55.4,66.0,62.7,58.1,46.0,36.0,33.1,Oregon
7,1957,22.0,34.2,39.0,44.3,52.2,58.9,62.8,61.0,60.2,46.0,35.5,35.4,Oregon
8,1958,33.7,40.5,36.0,42.8,56.4,59.3,66.8,67.6,57.2,50.5,39.0,38.3,Oregon
9,1959,35.0,34.1,38.7,45.6,47.5,58.8,66.5,62.4,55.3,48.9,37.7,31.3,Oregon
10,1960,27.5,32.8,39.6,44.1,48.1,59.2,68.1,61.7,59.0,48.6,37.4,31.9,Oregon
11,1961,34.8,38.9,38.9,43.5,49.7,62.6,66.7,68.2,53.9,47.0,35.1,31.9,Oregon
12,1962,27.3,33.3,36.1,47.0,47.5,56.8,63.3,62.4,59.4,48.2,40.2,35.6,Oregon
13,1963,27.4,41.7,38.3,40.3,52.0,55.9,61.0,63.5,62.1,50.3,39.3,32.8,Oregon
14,1964,31.6,32.5,35.4,41.1,48.0,55.5,64.5,61.8,55.4,50.0,35.9,32.3,Oregon
15,1965,32.8,36.6,37.8,45.3,48.3,56.8,64.5,63.3,53.9,51.7,40.7,30.9,Oregon
16,1966,32.5,33.0,38.7,45.1,52.9,56.4,63.0,64.3,60.1,48.1,40.3,34.8,Oregon
17,1967,35.4,37.2,36.8,38.0,50.6,58.9,67.0,69.0,62.4,48.4,39.8,30.1,Oregon
18,1968,31.6,39.8,41.5,41.7,50.2,58.5,66.9,61.5,57.9,47.0,38.4,31.2,Oregon
19,1969,28.1,31.2,37.3,43.7,54.2,59.5,63.8,63.0,58.7,44.3,39.0,34.6,Oregon
20,1970,33.9,38.4,38.2,38.7,50.7,60.7,66.2,65.1,53.8,45.6,39.2,30.3,Oregon
21,1971,33.2,35.2,34.8,42.0,50.6,54.7,65.4,68.0,53.8,45.0,37.4,29.8,Oregon
22,1972,29.5,35.0,41.9,40.7,52.4,59.0,65.6,65.8,54.1,47.0,38.3,26.4,Oregon
23,1973,29.6,36.8,37.8,43.5,53.3,58.5,65.9,63.5,57.9,47.3,36.9,36.5,Oregon
24,1974,28.5,35.1,38.3,42.7,48.6,61.1,63.9,64.4,60.6,48.2,39.4,33.5,Oregon
25,1975,32.0,33.1,35.7,37.9,49.6,55.8,66.6,61.0,59.5,47.2,36.3,35.2,Oregon
26,1976,33.5,33.9,35.3,41.6,51.6,54.4,64.8,60.7,59.5,48.6,41.1,32.3,Oregon
27,1977,27.2,37.7,36.2,46.7,46.2,61.4,63.7,67.2,56.0,48.4,37.2,35.8,Oregon
28,1978,35.1,37.2,43.4,42.8,48.2,58.1,64.8,63.1,55.2,50.0,33.4,27.1,Oregon
29,1979,22.0,33.8,40.8,43.4,52.2,58.4,65.6,63.7,61.0,51.4,35.1,35.8,Oregon
30,1980,30.0,37.8,37.5,45.9,50.3,54.1,65.1,61.1,58.5,48.9,39.6,35.7,Oregon
31,1981,35.7,35.9,40.0,45.0,49.8,56.7,63.2,67.0,58.7,46.1,40.1,35.5,Oregon
32,1982,29.2,33.0,37.6,40.3,49.6,58.7,63.1,64.6,55.9,47.1,34.4,31.7,Oregon
33,1983,35.8,38.3,41.0,41.8,51.9,55.8,61.2,65.3,55.8,49.0,39.5,27.9,Oregon
34,1984,30.6,34.4,40.7,41.4,49.6,54.7,65.8,65.2,56.2,44.2,37.2,27.7,Oregon
35,1985,27.3,30.5,35.6,47.1,51.3,59.4,69.2,62.2,52.1,45.8,28.5,25.9,Oregon
36,1986,35.6,37.6,43.9,43.1,51.3,62.4,61.2,68.3,52.6,49.6,39.5,32.4,Oregon
37,1987,29.8,36.2,40.1,49.2,54.0,61.0,61.8,64.4,60.6,52.9,39.2,31.0,Oregon
38,1988,30.0,37.5,39.5,46.2,50.1,58.4,66.3,64.4,58.1,55.4,37.8,31.4,Oregon
39,1989,30.4,25.8,38.8,48.2,49.8,59.6,64.0,61.6,58.2,47.4,39.9,34.6,Oregon
40,1990,34.2,32.6,41.0,49.2,48.9,57.9,67.4,65.3,62.4,46.7,38.9,24.4,Oregon
41,1991,31.6,41.6,37.0,42.2,47.3,53.9,66.3,66.5,61.6,50.0,39.0,34.3,Oregon
42,1992,35.0,40.9,44.6,48.1,57.8,61.8,64.4,66.5,57.9,50.6,36.8,28.8,Oregon
43,1993,26.2,29.4,40.9,43.2,54.5,55.4,57.6,61.8,59.1,50.6,33.6,33.3,Oregon
44,1994,36.5,33.1,42.3,46.6,53.4,57.6,68.1,65.4,61.3,46.9,31.7,31.3,Oregon
45,1995,35.1,40.9,38.9,42.6,51.6,56.2,64.5,62.0,60.6,47.0,43.3,34.2,Oregon
46,1996,33.2,35.1,40.6,45.3,48.3,57.8,68.2,66.0,55.9,47.7,39.6,34.0,Oregon
47,1997,32.7,35.1,40.7,43.0,55.7,56.6,64.0,66.2,59.1,46.9,40.8,32.3,Oregon
