date,January,February,March,April,May,June,July,August,September,October,November,December
1950,55.6,50.8,50.8,59.9,72.4,78.4,78.0,77.2,71.7,65.6,49.5,40.4
1951,45.1,47.2,53.8,60.7,69.1,77.8,80.1,80.3,74.0,66.0,49.2,48.3
1952,51.3,48.2,53.1,60.9,71.8,82.0,81.3,78.6,72.4,59.3,53.1,44.0
1953,48.6,49.1,55.1,61.2,75.4,78.2,80.4,78.8,72.9,64.4,52.0,45.8
1954,46.6,50.8,53.2,65.9,66.2,78.3,81.8,81.9,76.9,64.8,49.8,43.0
1955,43.4,47.7,56.7,65.2,72.6,73.2,80.5,80.2,74.5,62.1,51.7,42.6
1956,41.6,51.4,53.2,60.4,71.7,77.4,80.4,79.8,71.2,64.4,51.6,54.2
1957,46.9,53.4,52.1,64.0,70.9,77.4,79.2,77.9,75.0,58.9,54.4,46.5
1958,38.6,39.2,48.8,61.7,70.5,77.0,80.3,79.6,73.6,60.6,56.8,41.7
1959,43.1,48.8,51.4,63.5,72.7,76.8,79.1,79.9,73.2,65.2,52.8,45.8
1960,44.5,44.3,42.2,63.9,69.3,76.8,79.4,79.2,74.0,65.0,53.7,40.1
1961,40.2,49.0,56.7,57.0,67.3,74.8,79.0,77.4,74.9,61.4,56.8,45.8
1962,43.1,50.7,49.8,59.5,75.2,75.9,79.9,78.4,72.2,64.4,50.8,42.0
1963,40.4,41.0,56.7,63.7,69.3,75.7,77.8,79.1,70.7,63.1,53.0,38.3
1964,42.7,42.4,53.2,62.3,70.8,78.3,77.1,77.0,72.4,59.0,57.0,48.1
1965,45.1,46.6,50.9,63.0,74.0,74.2,78.4,78.8,73.8,61.5,54.2,45.8
1966,39.7,45.3,51.1,60.9,68.9,73.3,79.8,77.6,72.2,62.1,52.8,44.5
1967,46.2,43.2,56.6,65.1,67.6,73.6,77.3,76.4,67.7,60.5,49.7,49.6
1968,39.6,39.8,53.0,62.8,68.3,75.9,79.1,80.6,72.5,63.7,51.9,42.0
1969,41.3,43.4,48.2,62.6,69.1,78.3,81.6,76.0,71.4,63.8,50.2,42.4
1970,37.5,44.9,53.6,64.2,70.7,76.5,80.5,78.9,76.1,64.8,51.2,48.5
1971,43.9,45.5,48.9,60.6,67.6,77.7,78.2,77.6,74.5,67.3,52.7,54.5
1972,50.0,44.6,53.8,61.6,67.0,72.6,78.2,78.0,74.3,62.2,52.5,50.1
1973,43.9,43.5,57.8,59.9,68.2,76.4,79.5,78.2,75.9,64.9,56.6,45.9
1974,56.1,48.0,58.3,62.2,71.4,74.3,78.1,77.4,71.8,59.8,52.3,45.9
1975,48.9,50.4,52.6,60.6,72.5,76.4,77.4,79.7,73.2,65.5,55.2,45.3
