,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,1950,51.3,53.3,55.6,64.4,73.4,79.2,80.5,80.3,75.0,69.8,54.4,47.2,Utah
1,1951,45.4,49.3,56.1,63.7,72.8,79.9,84.6,84.9,77.1,68.2,51.8,49.4,Utah
2,1952,52.8,52.4,54.3,62.5,71.6,81.7,82.1,85.6,75.6,62.8,52.7,45.7,Utah
3,1953,51.2,49.2,61.3,64.2,72.8,85.0,83.7,81.7,76.3,66.8,53.6,43.8,Utah
4,1954,47.9,55.3,55.3,69.1,69.8,80.8,85.1,84.0,79.4,68.1,54.8,49.7,Utah
5,1955,45.6,48.3,57.8,68.3,74.6,78.3,82.1,81.6,77.5,66.3,54.0,48.2,Utah
6,1956,46.1,49.2,57.2,64.3,76.0,82.0,84.0,83.3,77.8,69.4,52.2,50.0,Utah
7,1957,46.8,55.9,55.2,62.7,70.8,78.6,84.4,82.9,74.2,62.7,51.0,50.1,Utah
8,1958,43.6,45.3,49.3,62.6,72.6,81.3,83.3,82.9,76.3,63.9,55.3,44.7,Utah
9,1959,43.1,48.4,54.5,62.5,74.3,79.6,80.4,81.7,77.5,64.9,49.1,48.4,Utah
10,1960,44.1,43.7,50.6,66.6,71.5,81.2,81.7,81.2,76.2,68.1,56.1,42.9,Utah
11,1961,41.4,49.6,57.9,63.7,73.4,77.6,79.6,79.4,75.1,65.7,51.3,46.6,Utah
12,1962,40.1,55.7,53.0,64.6,75.6,78.4,82.9,83.8,76.5,69.4,54.9,46.8,Utah
13,1963,39.2,47.7,59.2,70.0,74.4,80.1,83.8,83.2,77.1,70.3,56.7,40.7,Utah
14,1964,44.6,43.8,55.2,67.0,74.4,79.5,84.2,83.4,75.8,63.9,57.0,47.3,Utah
15,1965,49.2,46.2,49.5,68.2,72.9,78.8,83.0,80.9,76.8,64.3,60.7,50.6,Utah
16,1966,40.3,44.8,56.7,64.8,71.6,78.1,84.0,79.5,74.4,63.5,58.6,45.5,Utah
17,1967,46.5,48.2,62.0,70.6,71.9,80.3,81.6,79.6,72.3,64.9,55.3,45.3,Utah
18,1968,44.5,45.1,53.6,63.7,71.7,78.4,79.7,80.8,73.1,67.4,52.9,46.4,Utah
19,1969,48.9,49.6,49.0,65.8,71.3,79.1,85.1,83.1,75.6,64.4,53.4,49.1,Utah
