date,January,February,March,April,May,June,July,August,September,October,November,December
1950,23.8,14.7,20.9,37.3,52.8,62.2,65.2,62.7,52.4,47.4,37.4,22.8
1951,19.6,21.2,29.2,41.8,52.7,60.3,65.8,62.3,56.2,46.9,28.9,21.1
1952,18.6,20.9,27.8,42.9,48.6,62.2,68.6,64.4,57.6,42.3,35.2,23.9
1953,22.1,22.8,30.8,41.4,54.6,62.6,66.8,62.7,56.6,46.6,38.2,28.1
1954,11.7,24.2,27.2,41.1,50.8,61.8,63.1,60.8,54.2,49.1,34.6,21.0
1955,13.4,18.5,26.1,42.8,56.2,62.0,69.5,67.6,54.7,46.7,31.8,13.3
1956,18.5,20.4,21.0,36.7,46.9,61.4,62.7,62.4,52.5,45.8,34.7,24.2
1957,8.8,22.0,28.8,42.3,51.7,64.6,64.2,60.3,57.3,45.4,36.2,26.8
1958,18.2,11.7,31.1,42.1,48.9,56.0,65.6,63.5,56.1,44.0,34.5,10.1
1959,14.1,11.3,25.0,41.4,55.2,61.4,68.2,67.2,59.7,45.6,33.1,23.8
1960,15.8,22.9,21.1,41.8,57.0,61.3,63.4,63.1,57.0,43.4,36.8,16.3
1961,8.4,18.5,27.1,38.2,50.0,60.8,65.3,64.0,63.6,48.3,34.8,22.1
1962,14.7,12.9,28.6,40.4,52.2,61.8,61.8,63.1,53.8,44.5,30.2,17.7
1963,15.1,11.0,27.2,38.8,51.0,62.1,67.0,60.4,52.1,50.3,38.6,11.8
1964,18.9,16.5,29.2,39.4,55.8,60.3,67.5,59.0,53.8,43.4,33.4,21.4
1965,12.3,16.1,25.7,37.0,54.6,59.7,62.1,63.4,56.4,44.0,30.9,24.0
1966,15.0,17.6,28.8,38.0,48.6,61.6,65.3,63.6,53.2,44.1,37.8,21.8
1967,21.7,11.4,23.0,38.1,44.9,64.4,66.9,64.0,55.5,46.5,29.5,22.7
1968,8.7,12.2,30.2,44.9,50.2,59.6,66.8,61.6,59.1,47.9,30.9,17.2
1969,16.2,19.2,25.3,40.4,50.2,61.5,64.6,65.5,57.1,44.6,35.1,18.8
1970,5.0,17.4,25.9,40.2,53.6,61.2,67.2,65.0,57.0,48.4,36.4,15.1
1971,9.1,18.8,24.2,36.1,51.5,61.3,65.0,63.4,59.8,51.2,30.4,21.6
1972,17.2,14.7,24.5,34.3,53.5,60.4,66.0,62.0,56.0,40.5,30.2,21.3
1973,19.4,15.4,35.2,42.5,50.8,63.2,67.3,68.0,55.2,46.2,33.6,24.4
1974,18.0,15.1,26.2,41.2,48.9,61.6,65.7,64.3,54.9,39.6,33.6,25.2
1975,20.1,18.8,25.1,34.5,58.0,61.6,68.8,64.4,54.3,47.0,38.5,18.5
1976,9.4,22.3,28.8,43.5,50.7,65.2,63.8,62.8,54.0,41.4,29.8,14.0
1977,9.2,19.1,34.5,41.3,55.3,59.6,65.0,63.3,55.4,43.8,36.7,19.2
1978,14.0,9.9,23.8,36.7,55.3,61.1,65.6,64.3,52.2,43.3,32.7,21.2
1979,16.8,7.8,33.5,40.6,54.9,61.2,67.7,62.9,55.0,44.9,38.8,24.9
1980,18.4,14.8,27.2,41.6,53.2,58.5,66.5,65.4,55.7,42.5,29.7,13.4
1981,7.1,27.9,29.8,43.3,54.3,61.7,66.4,62.8,55.2,41.4,34.3,22.5
1982,6.4,17.2,26.7,37.7,54.8,58.6,65.4,61.0,57.2,45.4,37.5,27.7
1983,18.4,20.7,30.7,40.2,50.3,62.6,66.6,65.0,58.7,45.0,34.5,18.7
1984,13.4,26.9,21.5,42.0,50.1,62.4,65.8,66.8,53.6,47.4,33.9,26.6
1985,11.5,20.5,29.4,41.4,53.2,58.0,65.6,62.8,57.2,46.0,34.5,17.7
1986,16.7,15.2,30.1,45.7,55.7,58.5,64.4,62.5,53.9,44.4,30.9,24.0
1987,15.5,13.7,30.6,45.2,52.9,62.0,67.2,61.7,55.6,43.0,33.3,25.5
1988,15.4,18.4,27.2,41.2,54.9,59.1,68.5,66.6,54.2,41.6,34.9,19.0
1989,20.4,17.1,26.0,37.5,55.3,62.4,66.2,63.3,57.2,46.3,32.6,4.5
1990,26.2,20.7,30.2,42.3,49.6,61.8,66.2,65.8,55.7,48.0,35.5,26.6
1991,15.7,23.4,31.2,45.0,56.1,62.1,65.5,65.9,53.8,47.5,34.8,21.3
1992,16.4,18.5,23.8,38.3,52.5,59.8,61.9,62.5,56.2,41.3,32.4,23.9
1993,19.6,9.2,25.2,41.8,52.9,60.0,66.7,65.7,55.3,42.5,33.5,21.7
1994,5.4,12.4,27.1,40.9,50.7,64.1,68.7,62.3,55.0,45.7,37.6,26.0
1995,24.1,15.7,32.3,36.4,51.3,63.4,68.8,64.8,53.1,49.5,31.2,17.3
1996,15.1,18.4,25.9,39.8,50.2,62.6,64.9,64.8,58.1,44.6,30.3,29.2
1997,15.9,23.2,24.8,37.9,47.6,62.5,64.3,62.9,55.3,43.7,32.0,22.7
1998,21.7,26.1,31.3,43.2,58.1,61.8,65.6,65.1,57.8,46.7,35.5,29.2
1999,17.0,22.2,28.9,41.3,55.5,65.4,68.5,63.6,60.6,43.3,39.3,25.7
2000,15.0,20.8,34.1,39.8,52.9,60.4,63.1,63.3,55.5,45.6,34.8,16.6
2001,17.8,19.5,25.2,39.9,54.8,63.2,63.6,67.9,57.4,47.8,38.5,29.8
2002,25.2,24.0,29.7,43.4,49.4,60.6,66.5,66.8,60.4,42.9,32.3,21.6
2003,9.5,14.2,27.8,38.1,51.9,61.7,66.5,67.3,58.4,44.1,36.5,21.8
2004,7.2,17.5,31.6,41.4,54.9,59.4,65.7,64.5,58.3,45.4,34.8,21.4
2005,13.9,21.1,25.1,43.4,48.7,66.5,68.6,67.0,60.6,47.8,37.0,21.3
2006,26.0,21.3,28.9,43.0,54.2,62.9,69.2,63.4,56.4,44.4,40.5,30.5
2007,19.6,12.8,25.8,38.7,53.3,62.9,64.6,64.6,58.8,51.1,32.4,21.5
2008,21.5,20.5,25.8,44.8,50.0,63.7,67.0,63.1,58.5,44.1,34.7,22.9
2009,10.9,20.6,29.6,43.3,52.5,60.3,64.0,66.2,55.8,42.9,39.4,21.9
2010,20.1,23.5,35.9,46.2,56.0,61.8,69.4,65.4,59.2,45.2,35.0,20.8
2011,15.7,17.6,27.5,41.7,56.2,62.0,68.5,65.8,60.8,47.7,40.2,27.9
2012,21.4,25.6,38.7,42.7,57.5,62.2,68.0,67.1,57.2,49.3,33.1,27.4
2013,18.6,21.5,29.5,40.8,55.1,62.0,69.7,64.1,56.5,47.8,31.8,21.4
2014,14.6,16.6,18.6,40.5,53.6,62.6,66.5,63.3,57.5,49.3,33.3,27.0
