,date,January,February,March,April,May,June,July,August,September,October,November,December,State
0,1950,58.0,52.9,52.2,59.5,73.3,78.5,77.8,77.5,72.3,66.5,49.6,41.9,Georgia
1,1951,47.1,49.1,55.3,61.4,69.8,78.3,79.9,81.0,75.4,66.6,50.2,50.2,Georgia
2,1952,52.7,50.7,54.8,61.7,71.9,82.1,81.6,79.0,72.5,60.4,53.6,45.2,Georgia
3,1953,49.3,49.9,57.6,61.3,74.8,78.7,79.2,78.7,73.0,64.7,52.6,46.5,Georgia
4,1954,48.4,52.1,54.6,67.3,66.4,78.7,81.7,82.0,77.4,64.9,50.8,45.0,Georgia
5,1955,45.0,50.0,58.4,66.2,73.0,73.7,79.5,80.0,75.4,62.6,52.6,45.6,Georgia
6,1956,43.3,54.0,54.6,61.5,72.7,76.6,79.2,80.0,71.8,65.0,52.2,54.5,Georgia
7,1957,49.6,56.5,53.6,64.9,71.6,77.4,79.0,78.4,74.8,60.2,55.8,47.3,Georgia
8,1958,40.6,40.2,51.6,63.4,70.9,77.6,79.3,79.2,75.2,62.1,57.7,44.3,Georgia
9,1959,44.6,51.0,52.7,63.6,73.1,77.0,79.2,80.0,74.1,66.4,53.3,47.3,Georgia
10,1960,46.2,46.2,45.0,64.3,68.9,76.7,80.1,78.9,74.8,66.0,55.1,42.0,Georgia
11,1961,41.4,51.9,58.2,58.5,68.0,74.6,78.6,77.3,74.7,62.4,57.9,47.6,Georgia
12,1962,44.7,54.9,51.6,60.3,75.5,76.7,80.3,78.9,73.5,65.3,51.6,43.8,Georgia
13,1963,41.7,43.4,58.1,65.0,70.8,76.2,77.8,79.4,72.6,64.7,53.5,39.4,Georgia
14,1964,43.8,43.7,54.7,63.9,70.9,78.8,77.3,77.4,73.4,60.0,57.1,49.8,Georgia
15,1965,46.9,47.8,53.2,65.2,73.2,74.4,78.2,78.6,74.3,62.4,56.2,47.2,Georgia
16,1966,41.4,46.8,52.7,62.8,69.4,73.6,79.9,77.5,73.0,63.2,54.0,46.4,Georgia
17,1967,47.5,45.8,58.7,67.1,69.2,74.8,76.3,76.3,69.0,61.5,51.6,51.4,Georgia
18,1968,42.6,41.3,53.4,64.6,69.1,76.7,79.0,80.0,72.9,64.5,51.9,43.5,Georgia
19,1969,44.1,45.2,49.0,64.1,69.6,78.3,80.8,76.6,72.1,65.1,51.3,44.1,Georgia
20,1970,38.7,45.9,55.0,65.6,70.9,75.6,79.3,79.1,77.0,66.3,50.7,49.8,Georgia
21,1971,46.0,47.5,50.4,61.9,67.9,77.7,77.9,77.8,75.3,68.1,53.6,55.6,Georgia
22,1972,51.6,46.6,55.6,63.5,68.2,73.6,77.9,78.8,75.8,64.2,53.6,52.1,Georgia
23,1973,45.2,45.4,59.7,60.4,68.2,76.8,79.8,78.0,76.6,66.0,58.1,47.1,Georgia
24,1974,58.1,49.4,59.8,62.6,71.9,74.1,78.0,77.7,72.5,60.9,53.6,47.4,Georgia
25,1975,50.2,52.1,54.3,61.9,72.9,76.3,77.4,79.0,72.6,65.6,55.7,46.6,Georgia
26,1976,41.9,53.5,59.3,63.3,67.1,74.4,78.6,77.2,72.1,59.0,47.7,43.6,Georgia
27,1977,35.0,45.2,58.4,65.2,71.7,78.9,81.2,79.1,75.9,60.9,56.9,45.8,Georgia
28,1978,38.2,40.4,52.8,64.2,70.3,78.0,80.2,79.0,76.3,63.4,59.8,48.4,Georgia
29,1979,41.0,44.5,56.4,64.0,70.2,74.8,78.5,78.7,73.2,63.0,56.1,46.8,Georgia
30,1980,47.0,44.0,53.7,62.2,70.4,77.2,82.3,81.4,77.7,61.7,52.8,45.7,Georgia
31,1981,40.2,48.4,52.7,66.7,68.1,80.5,81.7,76.9,72.4,62.4,54.4,43.8,Georgia
32,1982,43.3,51.3,58.5,61.1,71.7,77.2,79.1,78.1,72.3,64.4,57.0,53.2,Georgia
33,1983,42.3,47.3,53.8,58.5,69.6,74.7,81.0,81.2,72.0,64.9,53.6,44.2,Georgia
34,1984,42.9,49.6,54.7,61.3,69.4,77.2,77.6,78.2,72.2,69.6,52.1,55.1,Georgia
35,1985,40.1,48.4,58.3,64.1,70.9,77.8,78.5,77.8,72.9,69.0,63.2,44.0,Georgia
36,1986,44.5,52.8,55.9,63.5,71.7,79.7,83.4,78.7,75.8,65.5,60.7,48.2,Georgia
37,1987,44.4,47.4,55.0,60.1,72.6,77.4,80.5,81.7,74.2,58.2,56.8,50.9,Georgia
38,1988,41.2,46.5,55.1,63.3,68.5,76.4,79.4,80.2,74.1,60.1,56.7,47.3,Georgia
39,1989,51.6,50.7,58.2,62.1,68.5,77.0,78.9,78.5,73.1,64.0,55.6,40.5,Georgia
40,1990,51.4,55.6,58.9,62.0,70.7,78.2,80.7,80.5,75.5,65.8,57.0,51.6,Georgia
41,1991,47.2,51.8,58.1,66.5,73.8,76.4,80.3,78.4,74.2,64.6,52.2,51.0,Georgia
42,1992,46.2,52.2,55.2,61.2,67.8,75.2,80.2,77.0,73.8,61.9,54.8,47.3,Georgia
43,1993,50.3,46.6,52.6,59.0,69.7,78.1,83.1,80.1,75.7,64.0,53.8,45.7,Georgia
44,1994,42.3,51.6,57.5,65.3,68.8,77.6,78.0,77.0,72.3,63.6,59.0,50.5,Georgia
45,1995,46.4,47.9,58.9,64.0,72.7,75.4,81.2,80.6,73.0,65.5,50.9,45.3,Georgia
46,1996,44.6,49.1,51.1,60.9,73.1,76.7,80.3,77.7,73.2,63.1,52.8,49.2,Georgia
47,1997,48.0,52.0,62.5,60.1,67.1,73.5,80.3,77.5,74.8,64.1,51.4,47.2,Georgia
48,1998,49.5,50.3,53.7,62.4,74.1,80.9,82.4,79.5,76.1,66.8,59.6,53.0,Georgia
49,1999,49.9,51.7,53.4,67.1,69.5,76.3,80.5,82.1,73.4,64.4,57.7,47.9,Georgia
50,2000,46.2,51.6,59.1,60.6,73.9,78.0,80.8,79.5,72.6,63.7,53.6,40.6,Georgia
51,2001,43.3,53.6,53.8,64.2,70.8,76.4,79.3,79.3,72.1,61.7,59.9,52.9,Georgia
52,2002,48.1,48.4,56.9,67.9,70.2,77.4,80.8,79.6,76.8,68.2,52.3,45.7,Georgia
53,2003,42.3,48.9,59.0,62.7,71.7,76.1,78.7,79.2,73.1,64.4,59.4,44.3,Georgia
54,2004,45.0,46.1,59.0,62.2,73.6,78.1,80.1,77.6,73.6,67.7,57.9,46.8,Georgia
55,2005,49.5,50.9,53.7,60.7,68.3,76.6,80.9,80.3,77.0,65.8,57.0,44.8,Georgia
56,2006,51.8,47.4,56.1,67.0,70.4,77.4,81.0,81.6,73.3,62.5,54.2,51.9,Georgia
57,2007,49.2,46.7,60.0,60.9,70.5,77.7,78.9,83.2,75.8,67.8,54.0,52.9,Georgia
58,2008,45.0,50.8,55.4,62.6,70.3,79.4,79.7,78.9,74.6,62.4,51.4,51.7,Georgia
59,2009,46.3,47.7,56.4,61.8,71.3,79.8,78.5,78.8,74.5,64.1,55.6,46.2,Georgia
60,2010,41.8,42.1,52.1,64.5,73.6,81.0,82.2,82.2,76.5,64.8,54.8,39.9,Georgia
61,2011,41.8,51.1,57.8,65.8,71.3,81.1,81.9,82.2,73.6,61.6,56.2,51.3,Georgia
62,2012,50.0,52.8,64.8,65.6,73.5,75.6,82.2,78.1,74.0,64.7,52.6,52.1,Georgia
63,2013,52.5,48.8,50.2,62.9,68.4,77.8,78.2,78.0,74.5,65.0,53.2,51.2,Georgia
64,2014,40.0,49.8,52.9,63.1,71.2,78.3,78.9,79.2,75.5,65.6,49.8,51.3,Georgia
65,2015,44.9,43.2,58.8,66.8,72.4,79.3,81.5,79.5,73.8,64.8,59.8,58.9,Georgia
66,2016,44.4,50.0,60.9,63.9,70.8,79.7,82.8,81.6,77.5,67.8,58.0,52.1,Georgia
67,2017,53.2,56.5,58.0,67.5,71.4,76.6,80.6,79.4,74.0,67.0,56.4,49.3,Georgia
68,2018,42.5,59.2,54.5,60.6,73.7,79.3,80.2,79.4,79.8,68.4,53.2,50.2,Georgia
