Alabama, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,58.9,13.8
195101,46.8,1.7
195201,52.4,7.3
195301,49.0,3.9
195401,46.9,1.8
195501,44.0,-1.1
195601,42.2,-2.9
195701,48.4,3.3
195801,39.7,-5.4
195901,43.1,-2.0
196001,44.5,-0.6
196101,39.2,-5.9
196201,42.6,-2.5
196301,39.1,-6.0
196401,42.4,-2.7
196501,46.5,1.4
196601,40.0,-5.1
196701,45.4,0.3
196801,42.3,-2.8
196901,43.3,-1.8
197001,38.0,-7.1
197101,45.0,-0.1
197201,49.1,4.0
197301,43.2,-1.9
197401,55.0,9.9
197501,49.0,3.9
197601,40.6,-4.5
197701,33.3,-11.8
197801,35.6,-9.5
197901,37.8,-7.3
198001,46.7,1.6
198101,39.5,-5.6
198201,42.9,-2.2
198301,42.1,-3.0
198401,40.3,-4.8
198501,37.2,-7.9
198601,43.1,-2.0
198701,43.0,-2.1
198801,40.7,-4.4
198901,50.6,5.5
199001,49.8,4.7
199101,45.8,0.7
199201,44.1,-1.0
199301,48.8,3.7
199401,40.8,-4.3
199501,45.4,0.3
199601,43.5,-1.6
199701,45.9,0.8
199801,47.8,2.7
199901,49.4,4.3
200001,46.5,1.4
200101,41.2,-3.9
200201,46.8,1.7
200301,40.0,-5.1
200401,44.2,-0.9
200501,49.2,4.1
200601,51.1,6.0
200701,46.7,1.6
200801,43.0,-2.1
200901,45.3,0.2
201001,40.0,-5.1
201101,41.1,-4.0
201201,50.1,5.0
201301,50.0,4.9
201401,37.3,-7.8
201501,43.6,-1.5
201601,43.0,-2.1
201701,52.4,7.3
201801,40.4,-4.7
201901,46.5,1.4
202001,49.5,4.4
202101,46.6,1.5
