Alabama, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,53.2,5.2
195102,49.3,1.3
195202,51.1,3.1
195302,48.9,0.9
195402,52.0,4.0
195502,49.1,1.1
195602,53.5,5.5
195702,56.4,8.4
195802,38.2,-9.8
195902,49.4,1.4
196002,44.4,-3.6
196102,52.0,4.0
196202,55.4,7.4
196302,41.8,-6.2
196402,42.5,-5.5
196502,46.3,-1.7
196602,46.6,-1.4
196702,44.3,-3.7
196802,40.0,-8.0
196902,45.8,-2.2
197002,44.3,-3.7
197102,45.8,-2.2
197202,47.0,-1.0
197302,44.6,-3.4
197402,47.7,-0.3
197502,51.1,3.1
197602,53.0,5.0
197702,45.2,-2.8
197802,38.8,-9.2
197902,43.6,-4.4
198002,42.7,-5.3
198102,47.2,-0.8
198202,48.4,0.4
198302,46.6,-1.4
198402,48.6,0.6
198502,45.5,-2.5
198602,51.5,3.5
198702,48.2,0.2
198802,45.4,-2.6
198902,48.1,0.1
199002,54.7,6.7
199102,50.4,2.4
199202,51.4,3.4
199302,46.2,-1.8
199402,50.3,2.3
199502,47.6,-0.4
199602,47.3,-0.7
199702,50.8,2.8
199802,49.2,1.2
199902,51.8,3.8
200002,52.3,4.3
200102,52.6,4.6
200202,46.0,-2.0
200302,48.0,0.0
200402,45.4,-2.6
200502,51.2,3.2
200602,46.1,-1.9
200702,44.8,-3.2
200802,49.2,1.2
200902,48.2,0.2
201002,40.6,-7.4
201102,49.5,1.5
201202,52.1,4.1
201302,48.0,0.0
201402,47.3,-0.7
201502,41.3,-6.7
201602,49.8,1.8
201702,55.6,7.6
201802,58.0,10.0
201902,56.1,8.1
202002,51.0,3.0
202102,46.7,-1.3
