Alabama, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,59.2,-3.6
195104,61.1,-1.7
195204,61.0,-1.8
195304,60.6,-2.2
195404,67.5,4.7
195504,66.2,3.4
195604,61.2,-1.6
195704,65.0,2.2
195804,63.3,0.5
195904,62.3,-0.5
196004,64.1,1.3
196104,58.9,-3.9
196204,60.0,-2.8
196304,65.8,3.0
196404,65.0,2.2
196504,66.1,3.3
196604,63.4,0.6
196704,67.9,5.1
196804,63.8,1.0
196904,64.0,1.2
197004,65.8,3.0
197104,61.2,-1.6
197204,63.5,0.7
197304,60.1,-2.7
197404,62.0,-0.8
197504,60.9,-1.9
197604,62.7,-0.1
197704,64.9,2.1
197804,63.9,1.1
197904,63.6,0.8
198004,60.6,-2.2
198104,66.8,4.0
198204,60.4,-2.4
198304,57.8,-5.0
198404,61.0,-1.8
198504,64.0,1.2
198604,62.5,-0.3
198704,60.2,-2.6
198804,62.8,0.0
198904,61.1,-1.7
199004,61.4,-1.4
199104,65.9,3.1
199204,61.5,-1.3
199304,58.7,-4.1
199404,64.7,1.9
199504,63.2,0.4
199604,60.0,-2.8
199704,58.8,-4.0
199804,61.6,-1.2
199904,67.1,4.3
200004,60.1,-2.7
200104,64.7,1.9
200204,66.4,3.6
200304,63.3,0.5
200404,61.2,-1.6
200504,61.0,-1.8
200604,67.5,4.7
200704,60.0,-2.8
200804,62.8,0.0
200904,61.4,-1.4
201004,64.2,1.4
201104,65.7,2.9
201204,65.0,2.2
201304,62.2,-0.6
201404,62.4,-0.4
201504,66.0,3.2
201604,63.6,0.8
201704,67.2,4.4
201804,59.5,-3.3
201904,63.5,0.7
202004,62.0,-0.8
202104,61.6,-1.2
