Iowa, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,29.6,-5.0
195103,26.1,-8.5
195203,30.5,-4.1
195303,35.5,0.9
195403,31.1,-3.5
195503,32.5,-2.1
195603,32.6,-2.0
195703,34.3,-0.3
195803,32.7,-1.9
195903,33.9,-0.7
196003,19.6,-15.0
196103,35.5,0.9
196203,27.8,-6.8
196303,38.7,4.1
196403,31.0,-3.6
196503,22.8,-11.8
196603,39.1,4.5
196703,38.1,3.5
196803,41.6,7.0
196903,26.6,-8.0
197003,30.6,-4.0
197103,31.8,-2.8
197203,34.4,-0.2
197303,42.1,7.5
197403,36.9,2.3
197503,26.9,-7.7
197603,37.0,2.4
197703,41.6,7.0
197803,30.9,-3.7
197903,31.8,-2.8
198003,31.8,-2.8
198103,39.5,4.9
198203,32.8,-1.8
198303,35.9,1.3
198403,28.3,-6.3
198503,40.1,5.5
198603,39.9,5.3
198703,40.4,5.8
198803,37.8,3.2
198903,33.7,-0.9
199003,39.6,5.0
199103,39.2,4.6
199203,39.0,4.4
199303,31.0,-3.6
199403,38.0,3.4
199503,37.0,2.4
199603,29.9,-4.7
199703,37.2,2.6
199803,32.8,-1.8
199903,36.3,1.7
200003,43.1,8.5
200103,30.2,-4.4
200203,31.0,-3.6
200303,35.1,0.5
200403,40.8,6.2
200503,36.0,1.4
200603,36.5,1.9
200703,41.8,7.2
200803,32.6,-2.0
200903,37.1,2.5
201003,38.4,3.8
201103,35.1,0.5
201203,51.6,17.0
201303,29.0,-5.6
201403,29.7,-4.9
201503,37.3,2.7
201603,42.4,7.8
201703,37.5,2.9
201803,35.2,0.6
201903,31.1,-3.5
202003,40.3,5.7
202103,42.3,7.7
