Iowa, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,67.7,-1.4
195106,64.4,-4.7
195206,73.3,4.2
195306,72.3,3.2
195406,72.0,2.9
195506,66.3,-2.8
195606,73.8,4.7
195706,68.1,-1.0
195806,65.4,-3.7
195906,70.8,1.7
196006,66.7,-2.4
196106,68.6,-0.5
196206,68.3,-0.8
196306,72.7,3.6
196406,69.3,0.2
196506,68.3,-0.8
196606,68.7,-0.4
196706,68.2,-0.9
196806,70.6,1.5
196906,64.3,-4.8
197006,70.0,0.9
197106,74.2,5.1
197206,68.2,-0.9
197306,70.8,1.7
197406,66.6,-2.5
197506,69.2,0.1
197606,69.3,0.2
197706,70.9,1.8
197806,69.8,0.7
197906,69.0,-0.1
198006,69.6,0.5
198106,70.2,1.1
198206,64.5,-4.6
198306,69.6,0.5
198406,70.5,1.4
198506,66.5,-2.6
198606,71.4,2.3
198706,73.0,3.9
198806,73.8,4.7
198906,67.7,-1.4
199006,70.3,1.2
199106,73.0,3.9
199206,67.4,-1.7
199306,66.9,-2.2
199406,70.9,1.8
199506,69.9,0.8
199606,69.5,0.4
199706,70.4,1.3
199806,67.1,-2.0
199906,68.9,-0.2
200006,67.7,-1.4
200106,68.3,-0.8
200206,72.4,3.3
200306,67.3,-1.8
200406,67.0,-2.1
200506,72.6,3.5
200606,70.0,0.9
200706,70.4,1.3
200806,69.3,0.2
200906,68.9,-0.2
201006,70.8,1.7
201106,69.6,0.5
201206,71.4,2.3
201306,68.9,-0.2
201406,70.2,1.1
201506,69.4,0.3
201606,73.0,3.9
201706,71.1,2.0
201806,73.1,4.0
201906,69.3,0.2
202006,72.9,3.8
202106,73.5,4.4
