Kansas, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,74.5,1.1
195106,68.3,-5.1
195206,81.2,7.8
195306,80.7,7.3
195406,76.6,3.2
195506,70.0,-3.4
195606,78.0,4.6
195706,71.4,-2.0
195806,73.0,-0.4
195906,75.2,1.8
196006,72.5,-0.9
196106,72.2,-1.2
196206,71.7,-1.7
196306,76.6,3.2
196406,73.0,-0.4
196506,72.2,-1.2
196606,73.9,0.5
196706,71.5,-1.9
196806,74.6,1.2
196906,69.7,-3.7
197006,72.6,-0.8
197106,76.5,3.1
197206,74.1,0.7
197306,74.4,1.0
197406,71.8,-1.6
197506,71.9,-1.5
197606,72.7,-0.7
197706,76.0,2.6
197806,74.3,0.9
197906,72.6,-0.8
198006,76.8,3.4
198106,75.8,2.4
198206,68.1,-5.3
198306,70.3,-3.1
198406,74.4,1.0
198506,71.1,-2.3
198606,75.8,2.4
198706,74.8,1.4
198806,77.2,3.8
198906,69.4,-4.0
199006,76.8,3.4
199106,76.2,2.8
199206,68.7,-4.7
199306,71.6,-1.8
199406,77.0,3.6
199506,70.4,-3.0
199606,74.4,1.0
199706,72.3,-1.1
199806,73.6,0.2
199906,71.0,-2.4
200006,72.0,-1.4
200106,72.9,-0.5
200206,76.9,3.5
200306,70.4,-3.0
200406,71.2,-2.2
200506,74.7,1.3
200606,75.8,2.4
200706,72.3,-1.1
200806,73.8,0.4
200906,74.4,1.0
201006,77.0,3.6
201106,76.8,3.4
201206,77.5,4.1
201306,75.2,1.8
201406,73.6,0.2
201506,75.8,2.4
201606,77.5,4.1
201706,75.1,1.7
201806,78.2,4.8
201906,72.4,-1.0
202006,77.7,4.3
202106,75.8,2.4
