Kentucky, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,51.2,-4.0
195104,52.5,-2.7
195204,54.8,-0.4
195304,52.6,-2.6
195404,61.0,5.8
195504,59.6,4.4
195604,52.9,-2.3
195704,58.6,3.4
195804,54.9,-0.3
195904,55.8,0.6
196004,58.0,2.8
196104,49.7,-5.5
196204,51.8,-3.4
196304,57.5,2.3
196404,58.5,3.3
196504,57.6,2.4
196604,53.4,-1.8
196704,59.0,3.8
196804,56.0,0.8
196904,56.8,1.6
197004,57.5,2.3
197104,54.0,-1.2
197204,55.3,0.1
197304,53.3,-1.9
197404,56.2,1.0
197504,52.3,-2.9
197604,55.2,0.0
197704,58.8,3.6
197804,56.8,1.6
197904,54.3,-0.9
198004,53.1,-2.1
198104,60.3,5.1
198204,51.0,-4.2
198304,50.3,-4.9
198404,53.6,-1.6
198504,58.9,3.7
198604,57.7,2.5
198704,53.4,-1.8
198804,54.8,-0.4
198904,54.5,-0.7
199004,53.9,-1.3
199104,58.8,3.6
199204,55.6,0.4
199304,53.1,-2.1
199404,58.0,2.8
199504,56.1,0.9
199604,52.5,-2.7
199704,50.2,-5.0
199804,54.5,-0.7
199904,58.4,3.2
200004,53.9,-1.3
200104,59.9,4.7
200204,58.6,3.4
200304,57.7,2.5
200404,55.8,0.6
200504,57.0,1.8
200604,60.3,5.1
200704,53.5,-1.7
200804,55.4,0.2
200904,55.8,0.6
201004,59.9,4.7
201104,58.8,3.6
201204,57.3,2.1
201304,55.2,0.0
201404,57.4,2.2
201504,57.4,2.2
201604,57.3,2.1
201704,61.5,6.3
201804,50.7,-4.5
201904,57.8,2.6
202004,52.8,-2.4
202104,54.5,-0.7
