Louisiana, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,48.1,-2.8
195112,54.9,4.0
195212,50.1,-0.8
195312,48.4,-2.5
195412,51.6,0.7
195512,51.9,1.0
195612,56.9,6.0
195712,52.7,1.8
195812,47.6,-3.3
195912,51.2,0.3
196012,47.4,-3.5
196112,51.0,0.1
196212,49.0,-1.9
196312,42.3,-8.6
196412,51.8,0.9
196512,52.2,1.3
196612,50.0,-0.9
196712,52.6,1.7
196812,48.6,-2.3
196912,50.7,-0.2
197012,55.4,4.5
197112,58.3,7.4
197212,50.0,-0.9
197312,49.8,-1.1
197412,50.8,-0.1
197512,49.3,-1.6
197612,47.3,-3.6
197712,50.0,-0.9
197812,50.8,-0.1
197912,49.0,-1.9
198012,49.7,-1.2
198112,49.2,-1.7
198212,55.4,4.5
198312,44.0,-6.9
198412,60.1,9.2
198512,46.9,-4.0
198612,49.1,-1.8
198712,54.0,3.1
198812,51.5,0.6
198912,42.0,-8.9
199012,53.0,2.1
199112,54.8,3.9
199212,52.9,2.0
199312,50.5,-0.4
199412,53.1,2.2
199512,50.5,-0.4
199612,54.1,3.2
199712,49.0,-1.9
199812,53.6,2.7
199912,50.9,0.0
200012,43.7,-7.2
200112,54.4,3.5
200212,50.8,-0.1
200312,49.4,-1.5
200412,49.7,-1.2
200512,49.2,-1.7
200612,52.1,1.2
200712,55.4,4.5
200812,52.5,1.6
200912,48.1,-2.8
201012,48.1,-2.8
201112,51.3,0.4
201212,55.0,4.1
201312,49.6,-1.3
201412,53.7,2.8
201512,59.1,8.2
201612,54.7,3.8
201712,50.8,-0.1
201812,52.6,1.7
201912,54.1,3.2
202012,50.9,0.0
202112,62.6,11.7
